SMILES,docking score,Heavy_Atoms,Ligand_Efficiency
NC(=O)c1cncc(c1)Cc2cc(ccc2Cl)C(=O)N[C@@H]3C[NH2+]C[C@H]3c4ccccc4,-9.54,31,-0.30774193548387097
Cc1cccc(c1C)CNC(=O)N[C@@H](CC(C)C)C(=O)CN(C(=O)[C@H]2O)c(c23)cccc3,-9.183,32,-0.28696875
Oc(c1)cccc1C(=O)c(cnn2C)c2C(=O)Nc3ccn(n3)C4CCCC4,-9.15,28,-0.3267857142857143
COc(cc1)cc(c12)c(c[nH]2)CC(=O)Nc3ccncc3,-9.15,21,-0.4357142857142857
Cc1c(C#N)cccc1[C@@H](C)Nc(nnc2C)c(c23)cc(nc3)-c4cnccn4,-9.045,29,-0.31189655172413794
CNC(=O)c(cn1)c(n12)nc(cc2[O-])C(=O)C[C@@H]([NH3+])Cc3ccccc3,-9.002,26,-0.34623076923076923
Cc1c(C#N)cccc1[C@@H](C)Nc(nnc2C)c(c23)cc(nc3)-c4ccccc4CO,-8.953,31,-0.2888064516129032
Cc1c(C#N)cccc1[C@@H](C)Nc(nnc2C)c(c23)cc(nc3)S(=O)(=O)C,-8.833,27,-0.32714814814814813
N#Cc1ccc(cc1)CNC(=O)Nc2ccncc2,-8.788,19,-0.4625263157894737
c1cccc(c12)n(c(=O)[nH]2)C(=O)[C@@H](C)Nc(n3)[nH]c(=O)c(c34)cnn4C5CCCC5,-8.759,30,-0.29196666666666665
c1cccc(c12)c(ccc2)[C@@H](C)c3nccc(n3)-c(cn4)c(n45)cccn5,-8.687,27,-0.3217407407407407
c1cc(Cl)ccc1[C@@H](C)Nc(n2)[nH]c(=O)c(c23)cnn3N4CCC(C(C)(C)O)CC4,-8.669,30,-0.2889666666666667
O=CCCc1ccc(cc1)Nn(nc2CO)c(c23)[nH]c(=O)[nH]c3=O,-8.646,24,-0.36025
C1C[NH2+]CCC1n2c(=O)c(-c3ccc(F)cc3)c(n2C)C(=O)NCc4ccc(C#N)cc4,-8.644,32,-0.270125
COc(c1)c(OC)cc(c12)c(nc(n2)C)N[C@H](C)c3cc(cs3)CCCC(=O)N,-8.602,29,-0.2966206896551724
COc(c1)c(OC)cc(c12)c(nc(n2)C)N[C@H](C)c3cc(cs3)-n4ccnc4C,-8.53,29,-0.2941379310344827
O[C@@H]1CCN(C1)c2nc(Cc(ccc3)c(c34)cccc4)nc(n2)-n5ccnc5,-8.495,28,-0.30339285714285713
NC(=O)c(c1)cncc1Nc2cc(ccc2C)C(=O)N[C@@H]3C[NH2+]C[C@H]3c4ccccc4,-8.478,31,-0.2734838709677419
Cc1c(C#N)cccc1[C@@H](C)Nc(nnc2C)c(c23)cc(nc3)-c4nc(no4)[C@@H]5CC[N@H+](C)CC5,-8.469,35,-0.24197142857142856
O=C([O-])CC[C@H](C)[C@@H](O)\C=C\[C@@H](CC)n(nc1)c(c12)nc([nH]c2=O)N[C@H](C)c3ccc(Cl)cc3,-8.45,34,-0.24852941176470586
c1cc(Cl)ccc1[C@@H](C)Nc(n2)[nH]c(=O)c(c23)cnn3CC[NH+]4CCCCC4,-8.439,28,-0.30139285714285713
Clc(c1)c(F)ccc1C(=O)NCc(cc2)cc(c23)cn[nH]3,-8.42,21,-0.40095238095238095
N#Cc1c(Cl)nccc1C(=O)[C@@H](C)Nc(n2)[nH]c(=O)c(c23)cnn3C4CCCC4,-8.416,29,-0.29020689655172416
COc(cc1)cc(c12)c(c[nH]2)CC(=O)c(nc3)nc(c34)cccc4,-8.402,24,-0.3500833333333333
C1CC1n(nn2)cc2C(=O)NC3CN(C3)c4ccnn4-c5cc(F)ccc5F,-8.398,28,-0.29992857142857143
COc(c1)c(OC)cc(c12)c(nc([nH+]2)C)N[C@H](C)c3cc(cs3)CCCC(=O)N,-8.397,29,-0.28955172413793107
FC(F)(F)[C@@H](C)Cc(nc1=O)[nH]c(c12)n(nc2)-c3ccnn3-c(ccn4)c(c45)cccc5,-8.381,32,-0.26190625
COc(c1)c(OC)cc(c12)c(nc([nH+]2)C)N[C@H](C)c3cc(cs3)-n4ccnc4C,-8.346,29,-0.28779310344827586
Cc1c(C#N)cccc1[C@@H](C)Nc(nnc2C)c(c23)cc(nc3)CC[NH+]4CCCCC4,-8.343,31,-0.2691290322580645
c1cn(C)c(=O)c(c12)ccn2CC(=O)c(cc3)cc(c34)c(cc(=O)[nH]4)NC[C@@H]([NH3+])O,-8.339,30,-0.2779666666666667
Cc1ncn(n1)-n(cn2)c(c23)ncnc3N,-8.337,16,-0.5210625
C1CC1n(nn2)cc2C(=O)NC3CN(C3)N(CC4)c(c45)cccc5,-8.33,24,-0.34708333333333335
C1CC1C(=O)Nc([nH+]2)nn(c23)ccc(c3)N4CC[C@@H](O)C4,-8.32,21,-0.3961904761904762
c1cccc(c12)c(ccc2)[C@@H](C)C(=O)NC3CCC3,-8.307,19,-0.4372105263157895
Cc1cccc(c1C)CNC(=O)N[C@@H](CC(C)C)C(=O)C(=O)/C=C/c2ccccc2,-8.3,30,-0.27666666666666667
n1cccc(c12)n(c(=O)[nH]2)N3CC[C@H](C3)Oc(cn4)nc(c45)cccc5,-8.265,26,-0.31788461538461543
c1cc(Cl)ccc1[C@H](C)Nc(n2)[nH]c(=O)c(c23)cnn3-n(nc4C[NH3+])c(c45)CCC5,-8.263,30,-0.2754333333333333
Cc1cccc(c1C)CNC(=O)N2CCNC(=O)C2,-8.257,19,-0.434578947368421
CC[NH+](CC)CCNC(=O)c1c(C)[nH]c(c1C)Cn(c(n2)N)c(c23)cccc3,-8.256,28,-0.2948571428571429
n1cnc(N)c(c12)c(cs2)N3CC[C@@H](O)C3,-8.242,16,-0.515125
c1cc(F)ccc1C(=O)C(=O)Nc2ccncc2,-8.224,18,-0.4568888888888889
OCC(CO)CCc(ccn1)c(c12)cc[nH]2,-8.203,16,-0.5126875
COc(cc1)cc(c12)c(c[nH]2)CC(=O)NCCSC(=O)C,-8.201,21,-0.39052380952380955
FC(F)(F)CCCNC(=O)c1ccnn1-c(ccn2)c(c23)cccc3,-8.195,25,-0.32780000000000004
Cc1c(C#N)cccc1[C@@H](C)Nc(nnc2C)c(c23)cc(nc3)C(=O)C(C)C,-8.191,28,-0.2925357142857143
c1cccc(c1c23)nc(n3nc(n2)C)NNCc4ccc([N+](=O)[O-])cc4,-8.181,26,-0.3146538461538461
COc(c1)c(OC)cc(c12)c(nc([nH+]2)C)N[C@H](C)c3cc(cs3)-c4n[nH]cn4,-8.157,28,-0.29132142857142856
CC(=O)SCCNC(=O)CCNc(ccn1)c(c12)cc[nH]2,-8.141,21,-0.38766666666666666
CN(C)c1nccc(n1)C(=O)NCc2ccc(C#N)cc2,-8.136,21,-0.3874285714285714
FC(F)(F)c1cccc(c1C)[C@@H](C)Nc(nnc2C)c(c23)cc(cc3)NC(=O)CCC(=O)[O-],-8.125,33,-0.24621212121212122
Cc1cnccc1C(=O)[C@@H](C)Nc(n2)[nH]c(=O)c(c23)cnn3C4CCCC4,-8.11,27,-0.30037037037037034
COc(c1)c(OC)cc(c12)c(nc(n2)C)N[C@H](C)c3cc(cs3)-c4n[nH]cn4,-8.099,28,-0.28925
n1c[nH]cc1C[C@@H](C=O)Cc2cc(ccc2Cl)C(=O)N[C@@H]3C[NH2+]C[C@H]3c4ccccc4,-8.093,31,-0.26106451612903225
C1OCC12CN(C2)C(=O)[C@@H](C)Nc(n3)[nH]c(=O)c(c34)cnn4C(=O)C(C)(C)C,-8.085,28,-0.28875
s1ccnc1C(=O)c(ccc2C)cc2Nc3cncc(c3)C(=O)N,-8.076,24,-0.3365
