SMILES,docking score,Heavy_Atoms,Ligand_Efficiency
C1CCCCN1C(=O)OC(=O)c(c2)cccc2-c(c(c3)-c4cncnc4C)cc(c35)ncnc5N[C@H](CO)c6cc(N)cc(C(F)(F)F)c6,-9.739,49,-0.19875510204081634
CC(C)n(c1)c(=O)ccc1-c(c(c2)-c(cc3C)nc(n3)C)cc(c24)c(ncn4)N[C@H](C)c5cc(O)cc(C(F)(F)F)c5,-9.527,42,-0.2268333333333333
CC(=O)Nc(c(C)cn1)cc1-c(c(c2)OC)cc(c23)c(ncn3)N[C@H](C)c4cc(N)cc(C(F)(F)F)c4,-9.52,37,-0.2572972972972973
OCCN(C)C(=O)c(nc1)ccc1-c(c(c2)-c(cc3C(=O)N)ccc3OC)cc(c24)c(ncn4)N[C@H](C)c5cccc(C)c5,-9.319,44,-0.21179545454545456
CC(=O)NC(=O)Cn1ccc(c1)-c(c2)c(-c3ccncc3)cc(c24)ncnc4N[C@H](C)c5cccc(c5)[C@H](C)O,-9.252,40,-0.2313
CCOc1nc(cs1)-c2cnc(-c3ccncc3)nc2N[C@H](CO)c4cc(N)cc(C(F)(F)F)c4,-9.24,35,-0.264
CN(C)C(=O)Cn(cn1)cc1-c(c(c2)-c(cc3C)cc(=O)n3C)cc(c24)ncnc4N[C@H](C)c5cccc(Cl)c5,-9.236,40,-0.23090000000000002
CCN(C)C(=O)n1cnc(c1)-c(c2)c(-c3cccc(c3)C(=O)N(C)C)cc(c24)c(ncn4)N[C@H](C)c5cccc(C(F)(F)F)c5,-9.187,45,-0.20415555555555553
C1COCCN1C(=O)COc(c(c2)OC)cc(c23)c(ncn3)N[C@H](C)c4cc(N)cc(C(F)(F)F)c4,-9.172,36,-0.25477777777777777
CCCn1ncnc1-c(c2)c(-n3cc(C(F)(F)F)cn3)cc(c24)c(ncn4)N[C@H](C)c5cccc(C(F)(F)F)c5,-9.108,40,-0.2277
c1cccc(c12)c(ccc2)CC(=O)Nc(c(c34)nccn4)nc(c3)-c5cnccn5,-9.06,30,-0.302
CCOc1cc(N)cc(c1)-c(c2)c([C@H](C)CC)cc(c23)c(ncn3)N[C@H](C)c4ccc(C(F)(F)F)cc4N,-9.051,38,-0.2381842105263158
CNc1nc(NCC(=O)N)ncc1-c2ccccc2Cl,-9.044,20,-0.45220000000000005
CN(C)C(=O)c(nc1)ccc1-c(c(c2)-c(n3)n(C)cc3C)cc(c24)c(ncn4)N[C@H](C)c5cc(O)cc(C(F)(F)F)c5,-9.027,42,-0.2149285714285714
CC(C)c1ccc(cc1)-c(cn2)c(n23)nc(-c4ccc(F)cc4)nc3N[C@H](C)c5cc(C(F)(F)F)ccc5N,-9.022,39,-0.23133333333333334
Cc1nc(ns1)-c(c2)nc(c(c23)nccn3)NC(=O)Cc(ccc4)c(c45)cccc5,-9.013,30,-0.30043333333333333
Cc1ccnc(n1)-c(nc(C)c2)c(c23)nc(nc3)N[C@H](C)c4cc(N)cc(C(F)(F)F)c4,-9.01,32,-0.2815625
c1cccc(c12)c(ccc2)CC(=O)Nc(c(c34)nccn4)nc(c3)-c5ccncc5,-8.974,30,-0.29913333333333336
C1COCCN1C(=O)COc(c(c2)OC)cc(c23)c(ncn3)N[C@H](C)c4cccc(C(F)(F)F)c4,-8.961,35,-0.25602857142857144
c1cccc(c12)c(ccc2)CC(=O)Nc(c(c34)nccn4)nc(c3)-c5ccco5,-8.959,29,-0.3089310344827586
Cc1sccc1-c(c2)nc(c(c23)nccn3)NC(=O)Cc(ccc4)c(c45)cccc5,-8.945,30,-0.2981666666666667
c1cccc(c12)c(ccc2)CC(=O)Nc(c(c34)nccn4)nc(c3)-c5ccon5,-8.935,29,-0.3081034482758621
C[NH+](C)Cc(nn1)ccc1-c(n2)cc(N[C@@H](C)c3cc(C(F)(F)F)ccc3N)n(c24)ncc4-c(c5)cn(c56)cccc6,-8.875,42,-0.2113095238095238
s1ccnc1-c(nc(C)c2)c(c23)nc(nc3)N[C@H](C)c4cc(N)cc(C(F)(F)F)c4,-8.842,30,-0.29473333333333335
O=c(c1)n(C)ccc1-c(c(c2)OC)cc(c23)c(ncn3)N[C@H](CO)c4cccc(C)c4,-8.813,31,-0.2842903225806452
[NH3+]CCc1cc(C)nc(n12)c(C(=O)N)c(n2)N[C@H](C)c3ccc(N)cc3,-8.804,26,-0.33861538461538465
CC(=O)N(C1)CCC[C@H]1Oc(c(c2)OC)cc(c23)c(ncn3)N[C@H](C)c4cc(N)cc(C(F)(F)F)c4,-8.774,36,-0.2437222222222222
Cc1c[nH+]c(n1C)-c(cc2)cc(c23)nc(c4c3cncn4)N[C@H](C)c5cc(N)cc(C(F)(F)F)c5,-8.755,35,-0.25014285714285717
CCn1c(C)c[nH+]c1-c(cc2)cc(c23)nc(c4c3cncn4)N[C@H](C)c5cc(N)cc(C(F)(F)F)c5,-8.749,36,-0.2430277777777778
CNc1cc[nH+]c(c1)-c(c2)c(S(=O)(=O)C(C)(C)C)cc(c23)c(ncn3)N[C@H](C)c4cc(N)cc(C(F)(F)F)c4,-8.741,39,-0.2241282051282051
Cc(c1)cc(C)cc1[C@@H](C)Nc(ncn2)c(c23)cc(c(c3)OC)-c4ccc(cc4)C(=O)N5CCC/C(C5)=N\CC(=O)N,-8.738,42,-0.20804761904761904
CN(C)C(=O)c(c1)cncc1-c(c(c2)OC)cc(c23)c(ncn3)N[C@H](C)c4cc(C)cc(C)c4,-8.727,34,-0.2566764705882353
NC(=O)Cn(n1)ccc1-c(c(c2)OC)cc(c23)c(ncn3)N[C@H](C)c4ccccc4,-8.727,30,-0.2909
c1cccc(c12)N(CC2)CC(=O)Nc(c(c34)cccc4)nc(n3)-c5ccncc5,-8.719,29,-0.3006551724137931
CCOc1cc(N)cc(c1)-c(c2)c([C@H](C)c3ccccc3)cc(c24)c(ncn4)N[C@H](C)c5cc(N)cc(C(F)(F)F)c5,-8.684,42,-0.20676190476190476
COc1ccc(cc1)-c(c2C)c(=O)n(-c3ccn(n3)CC(=O)N)c(c24)nc(nc4)N[C@H](C)c5ccccc5C,-8.681,39,-0.22258974358974357
s1ccnc1-c(nc(C)c2)c(c23)nc(nc3)N[C@H]([NH3+])c4cc(Cl)ccc4C,-8.677,27,-0.32137037037037036
CCc1ccccc1CNc(n2)c(C(=O)N)c(n23)nc(C)cc3-c4cccc(O)c4,-8.669,30,-0.2889666666666667
NC(=O)c1ccccc1-c(nc(C)c2)c(c23)nc(nc3)N[C@H](C)c4ccc(C)c(C)c4,-8.648,31,-0.27896774193548385
COc1cccc(c1)-c(cc2)cc(c23)nc(c4c3cncn4)N[C@H](C)c5cc(N)cc(C(F)(F)F)c5,-8.646,36,-0.2401666666666667
OCCN(C)C(=O)c(c1)cccc1-c(c(c2)-c(cc3)ccc3C)cc(c24)c(ncn4)N[C@H](C)c5cc(O)cc(C(F)(F)F)c5,-8.642,44,-0.1964090909090909
Cc1ccc(c(C)c1)CNc(c(c23)nccn3)nc(c2)-c4ccc(C(=O)N)cc4,-8.63,29,-0.29758620689655174
COc1ccccc1NCC(=O)Nc(c(c23)nccn3)nc(c2)-c4cc(no4)C(=O)N,-8.615,31,-0.2779032258064516
Cc1ccc(cc1)-c(nc(c23)n(cn3)C)nc2N[C@H](C)c4ccc(C(F)(F)F)cc4N,-8.61,31,-0.27774193548387094
