SMILES,docking score,Heavy_Atoms,Ligand_Efficiency
CC(=O)NCCC(=O)c(c(c1)OC)cc(c12)c(nc(n2)C)N[C@H](C)c3cc(N)cc(C(F)(F)F)c3,-9.737,35,-0.2782
Cc1c(C#N)cccc1[C@@H](C)Nc(nnc2C)c(c23)cc(nc3)-c4cc(Cl)c[nH]c4=O,-9.36,31,-0.30193548387096775
c1c[nH]c(=O)c(n12)c(C)cc2CCCNC(=O)c3ccc(S(=O)=O)cc3,-9.033,26,-0.3474230769230769
N#Cc(c1Cl)ccc(c1C)CC(=O)Nc2nc(cs2)-c3ccccn3,-8.532,25,-0.34128000000000003
COc(c1)c(OC)cc(c12)c(nc(n2)C)N[C@H](C)c3cccc(c3)-n4nccn4,-8.504,29,-0.29324137931034483
Cc1c(C#N)cccc1[C@@H](C)Nc(nnc2C)c(c23)cc(nc3)N4CCCC4,-8.465,28,-0.3023214285714286
C1COCCN1c2nccn(c23)c(c(n3)C)-c4cnn(c4)Cc5ccccc5CO,-8.46,30,-0.28200000000000003
FC(F)(F)c1cccc(c1C)[C@@H](C)Nc([nH+]nc2C)c(c23)cc(cc3)CC(=O)N,-8.336,29,-0.287448275862069
Cc1c(C#N)cccc1[C@@H](C)Nc(nnc2C)c(c23)cc(nc3)[C@@H]4CCC[NH2+]C4,-8.321,29,-0.2869310344827586
FC(F)(F)c1cccc(c1C)[C@@H](C)Nc(nnc2C)c(c23)cc(cc3)CC(=O)N,-8.265,29,-0.28500000000000003
FC(F)(F)c1cccc(c1C)[C@@H](C)Nc(n[nH+]c2C)c(c23)cc(cc3)N4CC[NH+](CC4)C5COC5,-8.264,35,-0.2361142857142857
COc(c1)c(OC)cc(c12)c(nc([nH+]2)C)N[C@H](C)c3cccc(c3)-n4nccn4,-8.156,29,-0.2812413793103449
o1nc(C)c(c12)cc(c(c2)OC)[C@H](C)c3cccc(c3)-c4cn[nH]c4,-8.111,25,-0.32444
C[NH2+]Cc1cc(nn1C)-c2ccnc(n2)Nc3ccc(C)c(C)c3,-8.092,24,-0.33716666666666667
COc(c1)c(OC)cc(c12)c(nc([nH+]2)C)N[C@H](C)c3cc(cs3)CCCC[NH3+],-8.08,28,-0.2885714285714286
Cc1ccc(cc1C)Nc2nccc(n2)-c3ccc(C[NH3+])cc3Cl,-8.074,24,-0.33641666666666664
C1CC1Oc2ccc(cc2OC)C(=O)NNCc3cccc(c3)C(=O)N,-8.059,26,-0.30996153846153846
o1nc(C)c(c12)cc(c(c2)NC)NN3C=CCC(=C3)C(=O)N,-8.051,22,-0.3659545454545455
O=C([O-])c(c1)cccc1-c(cc2C)cc(n2)C(=O)NCc3ccc(F)cc3,-8.045,27,-0.297962962962963
n1nn(C)cc1C(=O)c(n2)cc(cc2C)-c3ncn(n3)C[C@H]4CC[C@H](C(=O)[O-])CC4,-8.036,30,-0.26786666666666664
Cc1c(C#N)cccc1[C@@H](C)Nc(n[nH+]c2C)c(c23)cc(nc3)N4CCCC4,-7.986,28,-0.2852142857142857
Oc1c(C)cc(cc1C)CCc(n2)[nH]c(c23)cccc3,-7.954,20,-0.3977
O=C[C@@H]1CCCN1c2cc(CO)ccc2F,-7.945,16,-0.4965625
n1cccc(c12)c(c(C)cc2)[C@@H]3OC[C@@H](O)[C@H]3O,-7.944,18,-0.44133333333333336
OCc1ccccc1CN(C[C@H](C2CC2)N3C(=O)OC)c(c34)cc(cc4)C5=CC[NH2+]CC5,-7.933,32,-0.24790625
Cn(c1)c(=O)ccc1-c(cn2C)c(n2)CN(CCO3)[C@@H]([C@H]34)CCC4,-7.92,24,-0.33
COc(cc1)cc(c12)[nH]c(n2)CCc3cc(Cl)c[nH]c3=O,-7.918,21,-0.3770476190476191
Cc1ccccc1CC(=O)Nc2cc(C)c(c(C)c2)S(=O)(=O)NCC(=O)[C@@H](CO)C(C)C,-7.904,32,-0.247
CCc(no1)c(c12)cc(c(c2)OC)NC(=O)Cc(c[nH+]c3)c(c34)c(O)ccc4,-7.898,28,-0.2820714285714286
c1cc(F)ccc1-c(c2)nc(cc2C(C)(C)[NH3+])C(=O)NNCCn3ccc(=O)[nH]c3=O,-7.883,31,-0.25429032258064516
c1ccc([N+](=O)[O-])c(c12)nc([nH]2)CC[N@H+]3CC[C@H](O)CC3,-7.873,21,-0.3749047619047619
FC(F)(F)c1cccc(c1C)[C@@H](C)c2[nH]nc(C#N)c2C,-7.808,21,-0.3718095238095238
c1cccc(c12)oc(c2)Cc(c(c34)CN(S(=O)(=O)C)CC3)nn4CCC[NH+]5CCOCC5,-7.801,32,-0.24378125
CC(=O)NCCC(=O)c(c(c1)OC)cc(c12)c(nc([nH+]2)C)N[C@H](C)c3cc(N)cc(C(F)(F)F)c3,-7.795,35,-0.22271428571428573
CCN(C1=O)c2ccc(c(c2c13)ccc3)Nc4cccc(c4)N5CCCC5=O,-7.788,28,-0.27814285714285714
COc1nc(N(C)C)ncc1S(=O)(=O)c2c(C)cc(cc2C)NC(=O)Cc3ccccc3C,-7.771,33,-0.2354848484848485
CCN(C1=O)c2ccc(c(c2c13)ccc3)COCCO,-7.765,20,-0.38825
[nH+]1ccc(OC)c(c12)cc(cc2)[C@H](C)c3cc(N)cc(C(F)(F)F)c3,-7.764,25,-0.31056
O=c1ccc(cn1C)C(=O)NCCCNC(=O)c2cc(c[nH]2)C(=O)c3c(Cl)cccc3Cl,-7.762,32,-0.2425625
COc1cccc(c1)OCC(=O)CCc(n2)[nH]c(c23)cc(Cl)c(Cl)c3,-7.715,25,-0.3086
COc1ccc(cc1)Cn2nnc(n2)-c3cccc(c3)C(=O)c(ccc4)c(c45)ncn5C,-7.715,32,-0.24109375
O=c([nH]1)onc1C(=O)Cc(cs2)c(c23)cc(Cl)cc3,-7.704,19,-0.4054736842105263
O=S(=O)c(cc1)ccc1C(=O)NCCCc2ccc(Cl)cc2,-7.704,22,-0.35018181818181815
O=C1C=CCN1c2cccc(c2)Nc3cc(Cl)ccc3O,-7.7,21,-0.3666666666666667
c1ccccc1C[NH2+]Cc(n[nH]2)c(c23)cccn3,-7.699,18,-0.4277222222222222
COc(cc1)cc(c12)[nH]c(n2)CCc3c(Cl)cccc3Cl,-7.694,21,-0.36638095238095236
Clc(c1)cccc1C(=O)NCc2ccccc2,-7.694,17,-0.4525882352941176
CCCn(c1=O)c(=O)n(CCC)c(c12)nc([nH]2)CCC[N+](C)(CCO)CCO,-7.69,28,-0.27464285714285713
n1c[nH]c(=O)c(c12)ncn2C[C@@H](O)c3cccc(Cl)c3,-7.69,20,-0.3845
CC(=O)N1CCC(CC1)Cc2c(cc[nH]c2=O)NC[C@@H](O)c3cccc(Cl)c3,-7.683,28,-0.27439285714285716
C[C@H]1COCCN1c(cc2C)cc(n2)C(=O)NCc3ccc(F)cc3,-7.681,25,-0.30724
c1c[nH]c(=O)c(n12)c(C)cc2N3CCOCC3,-7.676,17,-0.4515294117647059
CC[C@@H](CO)[C@H](C)c(ccc1)c(c12)cccc2,-7.659,17,-0.45052941176470584
n1cnc(N)c(c12)ncn2Cc(c3)[nH]c(c34)cccc4Cl,-7.648,21,-0.3641904761904762
COc1cc(cc(c1)OC)N[C@H](C)c2cccc(C(F)(F)F)c2,-7.636,23,-0.332
C[NH2+]Cc1cccc(c1)CNNC(=O)c2ccc(c(c2)OC)OC3CC3,-7.633,26,-0.29357692307692307
CCc(no1)c(c12)cc(c(c2)OC)NC(=O)Cc(cnc3)c(c34)c(O)ccc4,-7.626,28,-0.27235714285714285
COc(c1)c(OC)cc(c12)c(nc(n2)C)N[C@H](C)c3cc(cs3)CCCC[NH3+],-7.613,28,-0.27189285714285716
Nc1nc(SC)nc(c12)n(cn2)Nc3ccccc3F,-7.612,20,-0.3806
CC(=O)N[C@H]1CCN(C1)n2cncn2,-7.604,14,-0.5431428571428571
c1ccccc1C(=O)CC(=O)c(cn2)cc(c23)cccc3,-7.601,21,-0.36195238095238097
NC(=O)c1ncc(cn1)C[C@H](O)[C@H]([NH3+])CO,-7.582,16,-0.473875
COc1cccc(c1)C/C(N)=N/n(cn2)c(c23)nc[nH]c3=O,-7.572,22,-0.3441818181818182
COc(c1)c(OC)cc(c12)c(nc(n2)C)N[C@H](C)c3ccc(s3)CCCC(=O)[O-],-7.565,29,-0.2608620689655173
Cc1nnc(n12)c(NC)nc(c2)NCc3ccc(OC)cc3C(F)(F)F,-7.564,26,-0.29092307692307695
c1ccccc1C[C@@H](NC(=O)[C@H](O)[C@H](C)[NH3+])CC[NH2+]CCc2ccncc2,-7.563,27,-0.2801111111111111
O=C1C=CCN1c2cccc(c2)NC(=N3)CSc(c34)cccc4,-7.56,23,-0.328695652173913
C[NH2+]Cc1ccc(cc1)-c2cc(C(=O)NC3CC3)cc(n2)Cc4ccccc4,-7.56,28,-0.26999999999999996
c1cccc(c12)c(c[nH]2)C[C@@H](CO)[NH2+]CCCCc3ccccc3,-7.556,24,-0.31483333333333335
N#Cc1cc(F)cc(c1)N2CCNC(=O)C2,-7.541,16,-0.4713125
o1nc(C)c(c12)cc(c(c2)O)Nc3ccc(cc3Cl)C[NH2+]CCc4ncc[nH]4,-7.538,28,-0.26921428571428574
Fc(c1)cc(F)cc1-n(n2)cnc2-c(cc3C)cc(n3)C(=O)NCc4ccc(F)cc4,-7.538,31,-0.24316129032258066
O=C[C@@H]1CCC[N+]\1=C(\N2)CSc(c23)cccc3,-7.533,17,-0.44311764705882356
O=C(C=1)N=c(c12)ccc(c2)Cc3ccccc3CO,-7.533,19,-0.3964736842105263
CC(=O)N1CCC(CC1)CC(=O)c2cc(nc(c2)-c3cn(C)nn3)Cc4ccccc4,-7.53,31,-0.24290322580645163
c1ncccc1COc2ccc(cc2C[NH3+])C(=O)CCC(=O)NCCc3ccc(Cl)c(Cl)c3,-7.523,33,-0.22796969696969696
CC(C)S(=O)(=O)n(cc1)c(=O)n(c12)ccn2,-7.522,16,-0.470125
Fc1cc(F)ccc1NC(=O)NCCCCc2ccccc2,-7.519,22,-0.3417727272727273
Cc1ccccc1CC(=O)Nc2cc(C)c(c(C)c2)S(=O)(=O)C(=O)Cc3ccc(F)cc3,-7.507,32,-0.23459375
Cc1ncsc1[C@H]2CC[C@H](O)CC2,-7.505,13,-0.5773076923076923
