SMILES,docking score,Heavy_Atoms,Ligand_Efficiency
Cc1c(C#N)cccc1[C@@H](C)Nc(nnc2C)c(c23)cc(nc3)N4CCCC4=O,-9.105,29,-0.31396551724137933
COc(c1)c(OC)cc(c12)c(nc([nH+]2)C)N[C@H](C)c3cc(cs3)-c4cn[nH]c4,-8.891,28,-0.3175357142857143
CC(C)(C)c1cc(c(o1)C[NH3+])C(=O)N[C@H](C[NH3+])c2ccccc2,-8.865,23,-0.3854347826086957
COc(c1)c(OC)cc(c12)c(nc(n2)C)N[C@H](C)c3cc(cs3)-c4cn[nH]c4,-8.848,28,-0.316
COc1ccc(cc1)NC(=O)CN(C)c(cc2)cc(c23)CCC(=O)N3,-8.832,25,-0.35328000000000004
Cc(c1)c(C)cc(c12)n(c(n2)N)CC(=O)Nc3ccncc3F,-8.747,23,-0.38030434782608696
CCC(=O)NCCCC(=O)c1cc(Cn2cc[n+](C)c2N)cc(c1)-c3ccc(F)nc3C,-8.726,32,-0.2726875
O=[N+]([O-])OCCOc(c(c1)OC)cc(c12)c(nc(n2)C)N[C@H](C)c3cc(N)cc(C(F)(F)F)c3,-8.702,34,-0.2559411764705882
Cc1c(C#N)cccc1[C@@H](C)Nc(nnc2C)c(c23)cc(nc3)C(C)(C)C(=O)[O-],-8.687,29,-0.299551724137931
COc1cccc(c1)[C@@H](C)NC(=O)c2ccc(cc2NCC[NH3+])C[C@@H]([NH3+])CC=3C=N[C@H](C34)C=CC=C4,-8.677,36,-0.24102777777777776
COc1ccc(cc1)NC(=O)CN(C)c(cc2)cc(c23)cnn3C,-8.674,24,-0.36141666666666666
CNC(=O)Cn1cc(cn1)[C@H](C)c2cccc(C#N)c2C,-8.648,21,-0.4118095238095238
C1CCc(c12)c(C[NH3+])nn2-c3ccc(cc3)[C@@](O)(C[NH3+])c4ccc(Cl)cc4,-8.636,27,-0.31985185185185183
[O-][NH2+]N[C@H](CO)c1ccccc1,-8.595,12,-0.71625
C[NH+](C)C1CCN(CC1)c2ccc(s2)C(=O)N[C@H](C[NH3+])c3ccccc3,-8.537,26,-0.3283461538461539
c1ccccc1[C@@H](C)[NH2+]CCCc([nH]2)nn(c23)ccc(\c3)=[NH+]\C(=O)c4ccnc(Cl)c4Cl,-8.515,32,-0.26609375
Nc1nonc1[C@H](C)c2cccc(c2)-c3cn[nH]c3,-8.515,19,-0.44815789473684214
Cc1cn(cn1)C(=O)N[C@H](CC=O)c2ccccc2,-8.477,19,-0.44615789473684214
COc1cccc(c1)[C@@H](C)NC(=O)c2ccc(N3CCCCC3)cc2NCC[NH3+],-8.472,29,-0.29213793103448277
C1CCCN1c(nn2C)nc2CNC(=O)Nc3c(CCC4)c4cc(c35)CCC5,-8.47,28,-0.30250000000000005
c1[nH]ncc1-c(c2)cccc2[C@@H](C)[NH2+][C@@H]3CCN(C3)c4ccc(Cl)cn4,-8.418,26,-0.32376923076923075
Clc(c1)cccc1[C@@H](C[NH3+])C(=O)Nc2ccccc2O,-8.418,20,-0.42089999999999994
Nc1ncc(Br)cc1S(=O)(=O)c(n2)[nH]c(c23)c(F)c(F)cc3,-8.411,22,-0.3823181818181818
c1[nH+]ccc(c12)n(cc2)CCCCCn(c3=O)cnc(c34)c(O)cc(c4)CC[NH2+]C(CO)CO,-8.406,34,-0.24723529411764708
Cc1c(C#N)cccc1[C@@H](C)Nc(nnc2C)c(c23)cc(nc3)C(=O)/C=C/c4ccc(O)c(O)c4,-8.406,35,-0.2401714285714286
CNC(=O)Cc(cc1)cc(c12)[nH]c(=O)[nH]2,-8.402,15,-0.5601333333333333
c1ccccc1[C@@H](C[NH3+])NC(=O)c2ccc(s2)NC3CC3,-8.369,21,-0.3985238095238095
Clc(c1)cccc1CNC(=O)Nc2c(CCC3)c3cc(c24)CCC4,-8.345,24,-0.34770833333333334
COc(c1)c(OC)cc(c12)c(nc(n2)C)N[C@H](C)c3cc(cs3)[C@H](C)C(=O)NO,-8.336,29,-0.287448275862069
Cc1c(C#N)cccc1[C@@H](C)c2cc(cc(C(F)(F)F)c2)C(=O)NC3CC[NH2+]CC3,-8.29,30,-0.2763333333333333
COC(=O)c1ccc(o1)-c2ccc(s2)C(=O)N[C@H](C[NH3+])c3ccccc3,-8.269,26,-0.31803846153846155
Cc1c(C#N)cccc1[C@@H](C)Nc(nnc2C)c(c23)cc(nc3)C[C@H](O4)COP4(=S)[S-],-8.249,31,-0.2660967741935484
c1ccccc1[C@@H](CC[NH3+])C(=O)Nc2cnccn2,-8.222,19,-0.43273684210526314
Fc1c(C)cc(cc1C)Cc2ccc(S(=O)(=O)N)cc2CC[NH3+],-8.218,23,-0.35730434782608694
[NH3+]Cc1cccc(c1)Cc2cc(ccc2O)-c3ccn[nH]3,-8.216,21,-0.3912380952380952
COc1cccc(c1)[C@@H](C)NC(=O)c2ccc(NC3CC3)cc2NCC[NH3+],-8.213,27,-0.30418518518518517
COc1cc(cc(C(F)(F)F)c1)-c2ncn(n2)CCn(cc3)c(c34)cc[nH+]c4,-8.194,28,-0.29264285714285715
C1C[NH2+]CCN1c(n2)nc(nc2SC)NCc3cc(C)ccc3C,-8.188,24,-0.3411666666666667
Fc1ccc(C)c(c12)[nH]c(c2)C(=O)NCc(ccc3)c(c34)OCCO4,-8.183,25,-0.32732
C[C@H]([NH3+])[C@@H](O)C(=O)C[C@H]1O[C@H]([C@H](O)[C@@H]1O)n2ccc(=O)cc2,-8.182,22,-0.3719090909090909
c1ccc(C(=O)N)c(c12)ncnc2NO,-8.181,15,-0.5454
c1ccccc1C[C@@H](NC(=O)[C@H](O)[C@H](C)[NH3+])CC[NH2+]C[C@H](N)C=O,-8.174,24,-0.3405833333333333
[nH]1ncc(c12)cc(cc2)C(=O)N[C@@H]3C[NH2+]C[C@H]3NCc4ccncc4,-8.174,25,-0.32696
Nc(n1)[nH]c(=O)c(c12)n(cn2)-c3ccc(Cl)cc3,-8.16,18,-0.45333333333333337
n1cnc(C)c(c12)ncn2N[C@@H]3CCC[NH2+]C[C@H]3NC(=O)c4ccncc4,-8.16,27,-0.3022222222222222
COCCN(C)c1ccc(s1)C(=O)N[C@H](C[NH3+])c2ccccc2,-8.158,23,-0.354695652173913
C=C1CS[C@@H](N=C1C(=O)[O-])[C@@H](C=O)NC(=O)[C@H](CCCC[NH3+])NCc2ccc(F)c(F)c2,-8.138,32,-0.2543125
COc(c1)c(OC)cc(c12)c(nc(n2)C)N[C@H](C)c3cccc(c3)-c4nonc4N,-8.135,30,-0.27116666666666667
c1ccccc1[C@H](C)NC(=O)c(cn2C)c(c23)cc(cc3)C(=O)[C@@H](N)Cc(c[nH]4)c(c45)cccc5,-8.129,35,-0.23225714285714286
Nc1ncc(Br)cc1S(=O)(=O)c([nH]2)nc(c23)c(F)c(F)cc3,-8.124,22,-0.3692727272727273
Nc1ncnc(c12)n(C(C)C)nc2C(=O)N[C@H](CC=O)c3ccccc3,-8.112,26,-0.312
[nH]1nccc1-c(ccc2O)cc2Cc(c[nH]3)c(c34)cc(Cl)cc4,-8.105,23,-0.3523913043478261
NC(=O)C(=O)c1cnc(s1)Nc2cc(cc(C(F)(F)F)c2)C(=O)NC3CC[NH2+]CC3,-8.094,30,-0.2698
Cc1c(C#N)cccc1[C@@H](C)Nc(nnc2C)c(c23)cc(nc3)[C@@H]4C[C@@H](O)C[C@H](O)C4,-8.094,31,-0.2610967741935484
Cc1ccc(cc1C)CNC(=O)c2ccnc(Cl)c2Cl,-8.093,20,-0.40465
c1ccccc1[C@@H](CC)NC(=O)c2cc(C(C)(C)C)oc2C[NH3+],-8.092,23,-0.3518260869565218
[NH3+]Cc1cccc(c1)Cc2cc(-c3cc[nH]n3)ccc2O,-8.079,21,-0.38471428571428573
COc1ccc(cc1)NC(=O)CN(C)c2ccc(O)cc2,-8.067,21,-0.3841428571428572
C1C[NH2+]CCC1Nn2nc(C(C)C)c(c23)c(=O)[nH]c(n3)Cc4ccc(cc4)OCCO,-8.064,31,-0.2601290322580645
C1NC[NH2+]C[C@H]1[C@@H]([C@H]([NH3+])O)CNc2ccccc2,-8.062,18,-0.44788888888888884
c1cnccc1C(=O)NCc2ccc(Cl)cc2,-8.061,17,-0.4741764705882353
Oc1ccccc1NC(=O)c2ccc(s2)-c(ccn3)c(c34)cc[nH]4,-8.054,24,-0.33558333333333334
CCC(=O)c(cc1)cc(c12)c(cn2C)C(=O)N[C@@H](C)c3cccc(F)c3,-8.047,26,-0.3095
Clc(c1)cccc1[C@@H](C[NH3+])C(=O)C[C@H]2O[C@H]([C@H](O)[C@@H]2O)Sc3cc[nH+]cc3,-8.045,27,-0.297962962962963
