SMILES,docking score,Heavy_Atoms,Ligand_Efficiency
CC(C)NC(=O)c(c1)[nH]c(c12)c(ccc2)N[C@H](C)c3cccc(c3)-c4cn[nH]c4,-9.789,29,-0.337551724137931
Nc1n[nH]c(c12)cc(cc2)-c(nc(n3)N)cc3[C@H](C)c4cccc(c4)-c5cn[nH]c5,-9.031,30,-0.3010333333333334
c1cc(Cl)ccc1[C@@H](C)Nc(n2)[nH]c(=O)c(c23)cnn3-n(cn4)c(c45)nc[nH]c5=O,-9.018,30,-0.30060000000000003
COCCc1ccc(c(C)c1)CNC(=O)N2CC(C2)OC(C)C,-8.968,23,-0.3899130434782609
O=C([O-])N[C@@H](C)C(=O)c(c(c1)OC)cc(c12)c(nc(n2)C)N[C@H](C)c3cc(N)cc(C(F)(F)F)c3,-8.764,35,-0.25039999999999996
CCOC(=O)c(c1)c(OC)cc(c12)nc(C)nc2N[C@H](C)c3cc(N)cc(C(F)(F)F)c3,-8.692,32,-0.271625
Nc(c1)cccc1C(=O)[C@@H](C)Nc(n2)[nH]c(=O)c(c23)cnn3C4CCCC4,-8.642,27,-0.32007407407407407
c1cccc(c12)c(ccc2)CC(=O)[C@@H](C)Nc(n3)[nH]c(=O)c(c34)cnn4C5CCCC5,-8.642,31,-0.27877419354838706
CNC(=O)c1cnc(N)c(c1)CC(=O)Nc2ccncc2Cl,-8.64,22,-0.39272727272727276
COc(c1)c(OC)cc(c12)c(nc(n2)C)N[C@H](C)c3cccc(c3)CCO,-8.615,27,-0.31907407407407407
COc(cc1)cc(c12)c(c[nH]2)CC(=O)c3cc(ncn3)Nc(cc4)cc(c45)n(C)c(=O)n5C,-8.522,33,-0.2582424242424243
FC(F)(F)c(c1)cc(N)cc1[C@@H](C)c([nH]2)c3CCNC(=O)c(c3c24)cc(F)c4,-8.49,28,-0.3032142857142857
Cc1ccccc1S(=O)(=O)c(c2)ncc(c23)c(C)nnc3N[C@H](C)c4cccc(C#N)c4C,-8.49,33,-0.25727272727272726
C[C@@H](O)CCn(c(=O)n1C)c(c12)cc(cc2)[C@H](C)c3cc(N)cc(C(F)(F)F)c3,-8.442,29,-0.2911034482758621
Cc1cc(C2CC2)ccc1CNC(=O)N3CC(C3)OC(C)C,-8.431,22,-0.3832272727272727
CNc1nccc(n1)Cc2cc(ccc2Cl)C(=O)N[C@@H]3C[NH2+]C[C@H]3c4ccccc4,-8.428,30,-0.28093333333333337
Cc1cn(cn1)-n(c(=O)[nH]2)c(c23)cccc3,-8.391,16,-0.5244375
O=c1[nH]nc(C(C)(C)CO)c(c12)ccc(F)c2,-8.37,17,-0.49235294117647055
COc(cc1)cc(c12)c(c[nH]2)CC(=O)Cc3ccco3,-8.366,20,-0.4183
CCOn(nc1)c(c12)nc([nH]c2=O)N[C@H](C)c3ccc(Cl)cc3,-8.352,23,-0.3631304347826087
c1cc(O)ccc1\C=C(\C#N)C(=O)NCCc2cccc(c2)/C(N)=N/O,-8.336,26,-0.32061538461538464
c1[nH]nc(c12)cc(cc2)\C=C(\C#N)C(=O)NCCN3CCOC3=O,-8.327,24,-0.3469583333333333
c1cc(Cl)ccc1[C@@H](C)Nc(n2)[nH]c(=O)c(c23)cnn3Cc4cc(O)cc(O)c4,-8.304,29,-0.2863448275862069
O=C1OCCN1Cc(c2)c(Cl)ccc2C(=O)N[C@@H]3C[NH2+]C[C@H]3c4ccccc4,-8.303,28,-0.2965357142857143
CCOc1cccc(c1)CC(=O)[C@@H](C)Nc(n2)[nH]c(=O)c(c23)cnn3C4CCCC4,-8.288,30,-0.27626666666666666
CCCc(nn1C)c(c12)nc([nH]c2=O)NCc3ccc(C)c(C)c3,-8.268,24,-0.34450000000000003
OCC1(CC1)CCc(c2)c(Cl)ccc2C(=O)N[C@@H]3C[NH2+]C[C@H]3c4ccccc4,-8.226,28,-0.2937857142857143
O/N=C(\N)c1cccc(c1)Cc2cc(Cl)cc(c2)C(=O)N[C@@H]3C[C@H]3c4ccccc4,-8.189,30,-0.2729666666666667
Cc1cccc(c1C)CNC(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)NO,-8.148,30,-0.2716
Fc(c1)cccc1[C@H](C)NC(=O)c(cn2C)c(c23)cc(cc3)N(CN4C)c(c45)nc(N)[nH]c5=O,-8.145,34,-0.23955882352941174
c1cccc(c12)c(ccc2)[C@@H](C)C(=O)Cc3ccccc3,-8.144,21,-0.3878095238095238
CNc(nc1)nc(c12)ccc(c2)CC[C@@H](C)O,-8.142,17,-0.4789411764705882
COc(cc1)cc(c12)c(c[nH]2)CC(=O)Cc3ccc(F)cc3,-8.141,22,-0.37004545454545457
FC(F)(F)c(cc1)ccc1[C@@H](C)c([nH]2)nc(c23)c(C(=O)N)cc(F)c3,-8.137,25,-0.32548
Cc1ccc(cc1C)CNC(=O)N[C@H](CC(C)C)C(=O)N(C2)CCC23CCOCC3,-8.126,30,-0.27086666666666664
CNC(=O)c1cc(ccn1)Oc2ccc(cc2)NC(=O)[C@@H]3CCCN3C(=O)[C@H](C)CS,-8.107,31,-0.261516129032258
CCc1c(=O)[nH]c(nc1CC)CC(=O)N2CCC[C@H]2C(F)(F)F,-8.1,23,-0.3521739130434782
Clc(c1)c(F)ccc1C(=O)NCc2ccc(F)cc2F,-8.096,20,-0.4048
Fc(c1)cccc1[C@H](C)NC(=O)c(cn2C)c(c23)cc(cc3)N(CN4C)c(c45)[nH]c(N)nc5=O,-8.089,34,-0.23791176470588238
Fc(c1)cc(C(=O)N)c(c12)C(=O)N(C2)N[C@@H]3C[NH2+]C[C@H]3c4ccccc4,-8.087,26,-0.31103846153846154
C1CCCCC1COc2nc(N)nc(c23)[nH]c(n3)C(=O)NCc4ccccc4,-8.075,28,-0.2883928571428571
O=c1n(C)c(=O)n(c(c12)nc[nH]2)C[C@H](O)CO,-8.074,17,-0.4749411764705882
c1cc(Cl)ccc1[C@@H](C)Nc(n2)[nH]c(=O)c(c23)cnn3C(=O)Cc4ccccn4,-8.07,29,-0.27827586206896554
Fc1ccc(C)c(c12)[nH]c(c2)C(=O)c3ccnn3-c4ccccc4F,-8.064,25,-0.32256
O=c1[nH]cnc(c12)n(cn2)Nc(ccc3C)cc3Nc4nccc(n4)-c5cccnc5,-8.037,31,-0.25925806451612904
