SMILES,docking score,Heavy_Atoms,Ligand_Efficiency
c1cccc(c12)n(C)c(N)[n+]2C[C@@H](O)COc3ccccc3,-8.944,22,-0.4065454545454546
c1cc(OC)cc(c12)[nH]c(=O)c(c2)CNc3c(NC(=O)C)cccc3,-8.629,25,-0.34515999999999997
C1CCCc(c12)c(C(F)(F)F)nn2CC(=O)Nc3cc(C(=O)C)ccc3,-8.559,26,-0.3291923076923077
Cc1oc(C)cc1-c2nn(c(=O)c(c2)N)CC(=O)Nc(c3)ccc(c34)OCCO4,-8.455,29,-0.291551724137931
Cc1nc(C)nn1CC(=O)N2C[C@@H](OCC2)c3nc(ccc3)-c4ccc(cc4)OC,-8.44,30,-0.2813333333333333
n1ccnc(c1N(C)C)C[C@@H](CCC2)CN2C(=O)CCc3cnccc3,-8.394,26,-0.32284615384615384
c1cc(F)ccc1N2C[C@@H](CC2=O)C(=O)Nc3cc(C(F)(F)F)ccc3,-8.366,26,-0.32176923076923075
Cc1oc(C)cc1-c2nn(c(=O)c(c2)N)CC(=O)Nc3ccc(cc3)SC,-8.359,27,-0.3095925925925926
c1cccc(c12)sc(=O)n2CC(=O)Nc3c(OC)ccc(c3)OC,-8.34,24,-0.3475
c1ccccc1-c2c([nH]c(c23)ccc(c3)C)C(=O)N[C@H](C)c4c(C)nn(c4)C,-8.301,28,-0.29646428571428574
c1cccc(c12)nc(C)n(c2=O)CC(=O)NCc3ccccc3,-8.299,23,-0.36082608695652174
C1C[C@H](OC)CC[C@H]1C(=O)NC2(CCCC2)c(c3)ccc(c34)OCO4,-8.286,25,-0.33143999999999996
c1cccc(c12)nc([nH]2)[C@@H](C)NC(=O)c3cc(C)ccc3,-8.277,21,-0.39414285714285713
n1cccc(c12)cc(C(F)F)n2CCC(=O)NCc3cccnc3,-8.271,24,-0.344625
c1cccc(c12)[nH]c(n2)[C@@H](C)NC(=O)c3cn(c(=O)cc3)CC(=O)NCc(cc4)ccc4F,-8.268,33,-0.25054545454545457
c1cc(Cl)ccc1CNC(=O)C(=O)NCCCn2cc[nH+]c2,-8.252,22,-0.37509090909090914
c1cccc(c12)c(CO)cn2CC(=O)Nc3ccc(Cl)cc3,-8.234,22,-0.37427272727272726
c1cccc(Cl)c1-c2c(c(on2)C)C(=O)Nc3cccc(c34)nsn4,-8.208,25,-0.32832
c1ccnc(c12)n(C)c(=O)n2CC(=O)Nc(c3)ccc(c34)OC(O4)(C)C,-8.174,26,-0.3143846153846154
O1COc(c12)cc(cc2)CNC(=O)C(=O)NC3CC3,-8.159,19,-0.429421052631579
c1cccc(c12)ccc(c2)OCC(=O)Nc3ccc(Cl)cn3,-8.154,22,-0.37063636363636365
C1CN[C@@H](C(=O)NC)CN1C(=O)Cn2nccc2,-8.102,18,-0.45011111111111113
Nc1cc(=O)[n-]c(n12)nnc2SCC(=O)Nc3cccc(c34)cccc4,-8.05,26,-0.3096153846153846
c1cc(F)ccc1-c(noc2=O)n2CC(=O)NCc3occc3,-8.003,23,-0.34795652173913044
c1c(C)ccc(C)c1N2C[C@@H](CC2=O)C(=O)Nc3ccc(cc3)C(=O)C,-7.994,26,-0.30746153846153845
COc(c1)ccc(c12)n(C)cc2C[C@H](C)NC(=O)Cc3cccc(c34)cccn4,-7.985,29,-0.27534482758620693
c1ccncc1-c2nc([nH]n2)CCNC(=O)c3cccc(c34)nccc4,-7.971,26,-0.3065769230769231
C1COCCN1c2c(C([O-])=O)cc(cc2)NCc(c3)ccc(c34)n(C)c(=O)n4C,-7.97,29,-0.27482758620689657
c1ccnc(c12)c(O)ccc2C[NH+]3CCN(CC3)c4ccccn4,-7.969,24,-0.3320416666666667
c1cnncc1CNC(=O)c2cc(cnc2)Cc3cc(F)ccc3,-7.962,24,-0.33175
c1ccccc1CCNC(=O)c2nc(C)nc(c2)[C@@H]3C[N@H+](C)CCC3,-7.951,25,-0.31804
c1cccc(c12)nnn2CC(=O)Nc3c(CC)cccc3,-7.921,21,-0.3771904761904762
c1cccc(C)c1N2C[C@@H](CC2=O)C(=O)Nc3sc(nn3)C(C)(C)C,-7.915,25,-0.3166
c1cccc(OC)c1N2C[C@@H](CC2=O)C(=O)Nc3cc(Cl)c(C)cc3,-7.907,25,-0.31628
c1n(C)nc(C)c1C(=O)N[C@@H]2CCC[C@H]([C@@H]2O)[NH+]3CCCC3,-7.903,22,-0.35922727272727273
c1ccnc(OC)c1C(=O)N[C@@H]2CCC[C@H]([C@@H]2O)n3c[nH+]cc3,-7.901,23,-0.34352173913043477
O[C@H]1CCCC[C@H]([C@]12C)N(C(=O)C)[C@H](C2)CNC(=O)c3ncccc3,-7.885,25,-0.3154
c1ccc(n12)cnn(c2=O)CC(=O)NC(C)C,-7.872,17,-0.46305882352941174
c1cccc(OCC)c1N(S(=O)(=O)C)CC(=O)Nc2ccc(cc2)OC,-7.868,26,-0.3026153846153846
n1cccn1-c2cc(ccc2)C(=O)NCCOc3ccc(F)cc3,-7.843,24,-0.32679166666666665
c1cnc(CC)n1-c2nc(ccc2)[C@H](CCC3)N3CC(=O)N,-7.838,22,-0.3562727272727273
c1cccc(C)c1[C@H]2[C@@H](CC(=O)N2CC)C(=O)NCCN3CCOCC3,-7.826,26,-0.301
c1cc(OC)ccc1N(S(=O)(=O)C)CC(=O)Nc(c2)ccc(c23)OCO3,-7.822,26,-0.3008461538461539
c1cc(C)ccc1CNc(nc(c23)n(C)c(=O)[nH]c3=O)n2C[C@@H](O)COc4c(C)cccc4,-7.809,33,-0.23663636363636364
Cn1c(=O)n(C)c(c12)ccc(c2)NC(=O)CN(S(=O)(=O)C)c3ccc(cc3)OCC,-7.807,30,-0.26023333333333337
c1c(C)ccc(c12)[nH]cc2CCNC(=O)c3c(OC)cc(cc3)SC,-7.807,25,-0.31228
c1cccc(c12)nc([nH]2)Cc3cc(OC)c(cc3)OC,-7.807,20,-0.39035000000000003
c1cccc(c12)C(=O)N(S2(=O)=O)CC(=O)Nc3c(C)c(Cl)ccc3,-7.805,24,-0.3252083333333333
c1c[nH+]cn1[C@@H]([C@@H]2O)CCC[C@H]2NC(=O)c3cc(COC)ccc3,-7.803,24,-0.325125
CCOc(cc1)ccc1N2C[C@@H](CC2=O)C(=O)Nc3sc(nn3)CC,-7.802,25,-0.31207999999999997
c1nn(C)c(C)c1-c2ccnc(n23)cc(n3)C(=O)N[C@H](C)CCc4c(Cl)cccc4,-7.798,30,-0.25993333333333335
O=S(=O)(C)N1C[C@@H](CCC1)c(cc2)ncc2C(=O)NCCCc(cc3)ccc3Cl,-7.798,29,-0.26889655172413796
c1ccccc1N2C[C@@H](CC2=O)C(=O)Nc3ccc(cc3)C(=O)C,-7.79,24,-0.32458333333333333
c1cnn(CC)c1-c2nc(cnc2)C[C@H](CCC3)CN3C(=O)C,-7.789,23,-0.3386521739130435
CCn(c1)nc(C)c1C(=O)N2C[C@H](CC2)c3n(C)cc([nH+]3)C,-7.789,22,-0.35404545454545455
C1CCCCC1NC(=O)c2cc(no2)[C@@H]3C[N@H+](CCC3)Cc4cc(O)ccc4,-7.785,28,-0.2780357142857143
c1cc(O)ccc1NC(=O)CN2C(=O)/C(SC2=O)=C\c3c(F)cccc3,-7.78,26,-0.29923076923076924
O=C(C)NCc(ccc1)cc1[C@H](C[N@@H+](C2)C)[C@@H]2C(=O)NCCc(cc3)ccc3OC,-7.78,30,-0.25933333333333336
c1cccc(c12)nnn2CC(=O)Nc3cc(F)ccc3,-7.772,20,-0.3886
n1c(C)c([N+](=O)[O-])c(C)n1CC(=O)Nc2c(F)ccc(F)c2,-7.76,22,-0.3527272727272727
c1cccc(c12)nnn2[C@@H](C)C(=O)Nc(c3)ccc(c34)oc(c4)C,-7.759,24,-0.3232916666666667
c1cccc(c12)sc(=O)n2CC(=O)Nc3ccc(cc3)OC,-7.757,22,-0.35259090909090907
COc(c1)c(OC)cc(OC)c1C[NH2+]CCc2c(Cl)cc(Cl)cc2,-7.755,24,-0.323125
O=C(N)[C@@]1(C)CN(CCO1)C(=O)Cn2nccc2,-7.753,18,-0.43072222222222223
C1CCCN1c2nc(cc(=O)[nH]2)[C@@H](C)NC(=O)c3cc(Cl)c(F)cc3,-7.737,25,-0.30948
c1cccc(c12)oc(=O)n2C[C@@H](C(C)C)NC(=O)c3noc(c3)C4CC4,-7.733,26,-0.2974230769230769
C1C[C@@H](C(=O)N)CC[N@@H+]1CCC(=O)Nc2cc(F)ccc2,-7.732,21,-0.3681904761904762
O1COc(c12)ccc(c2)-n3c(nnn3)SCC(=O)Nc4ccc(cc4)C(=O)C,-7.729,28,-0.2760357142857143
c1cccc(C)c1-c2nc(on2)[C@@H](C)NC(=O)c3ccc(cc3)OCC,-7.725,26,-0.2971153846153846
[n-]1c(=O)[nH]c(=O)c(c12)sc(c2C#N)SCC(=O)Nc3sc(nn3)CC,-7.72,25,-0.30879999999999996
n1ccc(nc1C)CN2[C@@H](C[NH2+]CC2)c3cc(C(=O)NC)ccc3,-7.72,24,-0.32166666666666666
c1cccc(OC)c1N(S(=O)(=O)C)CC(=O)Nc2cccnc2,-7.712,23,-0.3353043478260869
c1ccccc1CNC(=O)c2cn(c(=O)cc2)CC(=O)N3C[C@H](CCC3)Cn4c(C)[nH+]cc4,-7.711,33,-0.2336666666666667
c1cc(C)ccc1CC(=O)Nc(cc2)ccc2[C@@H]3C[C@@H](CCO3)NC(=O)C,-7.701,27,-0.2852222222222222
c1ncccc1-c2nnc(n23)sc(n3)Cc4cccc(c45)cccc5,-7.695,25,-0.3078
c1c(C)c(C)cc(c12)nnn2C[C@@H](C)NC(=O)c3ccco3,-7.674,22,-0.34881818181818186
c1cccc(c12)[nH]cc2C[C@@H](C)NC(=O)N,-7.666,16,-0.479125
C1C(C)=NN([C@]1(C)O)C(=O)CSc2ccccn2,-7.666,18,-0.42588888888888893
