SMILES,docking score,Heavy_Atoms,Ligand_Efficiency
COc(cc1)cc(c12)c(c[nH]2)CCNC(=O)CCc(nn3)c(=O)n(c34)cccc4,-9.052,29,-0.31213793103448273
COc1c(OC)cc(cc1OC)NC(=O)Cc(cn2C)c(c23)cccc3,-8.993,26,-0.3458846153846154
COc1c(OC)cc(cc1OC)NC(=O)Cn2c(N)nc(C)cc2=O,-8.735,25,-0.3494
COc1ccc(cc1OC)NC(=O)Cn(cc2)c(c23)cc([N+](=O)[O-])cc3,-8.632,26,-0.33199999999999996
CN(C1)C(=O)[C@@H](C)n(c12)nnc2CNC(=O)c3ccccn3,-8.583,22,-0.39013636363636367
c1ccc(C)c(c12)ccn2CCNC(=O)C3=NN(C(=O)CC3)[C@@H](C4)CCS4(=O)=O,-8.534,29,-0.29427586206896555
CC(C)CN1C[C@H](O)CN(CC1=O)C(=O)Cn2cccn2,-8.524,21,-0.4059047619047619
Cc1ccc(c(C)c1)NC(=O)N(CC2)Cc3cccc(c3c24)n(c4)C,-8.419,25,-0.33676
Cc1cccc(c1)NC(=O)N[C@H](C)C(=O)N(CC2)c(c23)cccc3,-8.405,24,-0.3502083333333333
COc(cc1)cc(c12)c(c[nH]2)CCNC(=O)CCCS(=O)(=O)c3nc(cc(n3)C(F)(F)F)-c4cccs4,-8.379,37,-0.22645945945945944
COc1ccc(c(c1)OC)NC(=O)Cn(cc2)c(c23)ccc(Br)c3,-8.323,24,-0.34679166666666666
s1ccnc1NC(=O)C[C@H](NC2=O)c(c23)cccc3,-8.284,19,-0.43600000000000005
Cc1ccccc1CNC(=O)c2ccc(o2)C[S@@](=O)c3cccc(Cl)c3,-8.273,26,-0.31819230769230766
c1cccc(c12)N(C(=O)CCC2)[C@H](C)C(=O)NCCCN3CCCC3=O,-8.261,26,-0.3177307692307692
FC(F)(F)c1nn(c(c12)CCC2)CC(=O)NCCn3nc(C(F)F)cc3C(F)F,-8.259,29,-0.28479310344827585
c1cc(Cl)ccc1C(=O)CSc(n2)[nH]c(c23)cccc3,-8.242,20,-0.4121
Cc1cc(nn1C)NC(=O)C[C@H](NC2=O)c(c23)cccc3,-8.215,21,-0.3911904761904762
CSc1ccc(cc1)CNC(=O)c2cccc(c2)CN(C3=O)c(cccc4)c4C(=O)N([C@H]35)CCC5,-8.211,35,-0.2346
COCCn(c1)c2cccc(c2c13)CN(CC3)C(=O)Nc4cccc(c4)OC,-8.198,28,-0.2927857142857143
CCc1noc(c12)nc(C(=O)OCC)nc2NCc3cc(C)ccc3C,-8.192,26,-0.3150769230769231
COc1ccc(cc1Cl)NC(=O)CSc2ccsc2[N+](=O)[O-],-8.186,22,-0.3720909090909091
c1ccc(OC)c(c12)ccn2CCNC(=O)CCn(cc3C(=O)C)c(c34)cccc4,-8.165,30,-0.2721666666666666
COCCCNC(=O)N(CCO1)Cc(c12)cc(cc2)N(C)C,-8.15,22,-0.3704545454545455
O=c1[n-]c(=O)[nH]nc1CC(=O)N/N=C/c2ccccc2,-8.117,20,-0.40585000000000004
C1C[C@@H](C)Cc(c12)cn(n2)CC(=O)Nc3c(F)c(F)c(F)c(F)c3F,-8.115,25,-0.3246
c1cccc(c12)n(cn2)CC(=O)N/N=C/c3cccc(Cl)c3,-8.071,22,-0.36686363636363634
n1ccc(C)n(c12)nc(n2)NC(=O)CCc3ccccc3,-8.042,21,-0.38295238095238093
COCc1nnc(s1)NC(=O)CCn(cc2C(=O)C)c(c23)cccc3,-8.015,25,-0.3206
Fc1cc(F)ccc1NC(=O)Cc2nc(n[nH]2)Cc3ccccc3,-8.002,24,-0.3334166666666667
Cc1ccc(cc1)CNC(=O)C(=O)NCCc(c[nH]2)c(c23)cccc3,-7.999,25,-0.31995999999999997
COc1ccc(cc1OC)C(=O)NCc2cnoc2-c3ccc(F)cc3,-7.998,26,-0.3076153846153846
COc(cc1)cc(c12)cc3c(n2)sc(c3)C(=O)NCCc4cccc(C)c4,-7.993,27,-0.29603703703703704
Fc(c1)c(F)ccc1NC(=O)c2cccn(c2=O)Cc3cccc(F)c3,-7.976,26,-0.3067692307692308
COc1ccc(cn1)NC(=O)Cn(n2)c(=O)cc(c23)CCCC3,-7.974,23,-0.34669565217391307
c1ccccc1OCCn2c(cc(c23)sc(C)c3)C(=O)NCc4cccc(C(F)(F)F)c4,-7.973,32,-0.24915625
c1cnccc1NC(=O)Cn(n2)c(=O)cc(c23)CCCCC3,-7.965,22,-0.36204545454545456
COc1cccc(c1)CNC(=O)[C@@H](NC2=O)C[C@@]23CCN(C3)C(=O)c4ccccc4,-7.965,30,-0.2655
c1cccc(c12)c(c(C)[nH]2)Cc3nnc(o3)SCC(=O)N,-7.945,21,-0.37833333333333335
COc1ccc(cc1)C(=O)NCc2nc(no2)-c(cc3)cc(c34)OCO4,-7.937,26,-0.3052692307692308
c1cc(Cl)ccc1CNC(=O)c2cnn(c2)-c3ccccc3,-7.936,22,-0.36072727272727273
O=[N+]([O-])c(c1)c(Cl)ccc1C(=O)NCCc(c[nH]2)c(c23)cccc3,-7.927,24,-0.33029166666666665
COc1ccc(cc1)CNC(=O)NCc(nn2)n(c23)cccc3,-7.924,23,-0.3445217391304348
n1cnn(c12)c(c(CC)c(n2)C)Sc3ccc(cc3)NC(=O)NCc4cccc(c4)OC,-7.921,32,-0.24753125
c1ccccc1-c(n2)nc(c(c23)cccc3)N(CCC)CCC(=O)NCc4cccc(C(F)(F)F)c4,-7.914,36,-0.21983333333333333
CCc1ccc(cc1)-n2nc(CO)c(n2)C(=O)NCCc(c[nH]3)c(c34)cccc4,-7.9,29,-0.27241379310344827
COc1cccc(c1)CNC(=O)c2cccc(c2)Oc3cc(ncn3)-c4ccc(F)cc4,-7.897,32,-0.24678125
CCOc1ccc(cc1)N2C[C@@H](CC2=O)C(=O)Nc3cccnc3,-7.889,24,-0.3287083333333333
Cc1noc(c12)nc(C)cc2C(=O)NCc3ccccc3,-7.882,21,-0.3753333333333333
c1cccc(c12)N(C=NS2(=O)=O)CC(=O)NCc3ccccc3Cl,-7.87,24,-0.3279166666666667
O=c1n(C)c(=O)n(C)c(c12)n(cc2)CC(=O)NCc3cccs3,-7.869,23,-0.3421304347826087
C1CCCN1C(=O)c2nc(oc2C)CNC(=O)c3cc(Cl)ccc3F,-7.868,25,-0.31472
Cc1cccc(c1C)-n2ccnc2SCC(=O)Nc(cc3)cc(c34)OCO4,-7.865,27,-0.29129629629629633
