SMILES,docking score,Heavy_Atoms,Ligand_Efficiency
COc(cc1)cc(c12)c(c[nH]2)CCC(=O)CCCCCCCCC(=O)OC[C@H](O)CO,-12.075,31,-0.389516129032258
CC(=O)SCCNC(=O)CCNc1nccc(n1)-c2cccnc2,-9.329,24,-0.3887083333333334
Cc1cccc(c1C)CNC(=O)N[C@@H](CC(C)C)C(=O)CN(C(=O)[C@H]2O)c(c23)cccc3,-9.295,32,-0.29046875
OCCOCCOCCOCCOCC[NH2+]C1CCN(CC1)Cc(c[nH]2)c(c23)cc(Cl)cc3,-9.226,33,-0.2795757575757576
N#Cc1ccc(cc1)CNC(=O)Nc2ccncc2,-8.95,19,-0.47105263157894733
Cc1c(C#N)cccc1[C@@H](C)Nc(nnc2C)c(c23)cc(nc3)C(=O)C(C)C,-8.922,28,-0.31864285714285717
COc(c1)c(OC)cc(c12)c(nc(n2)C)N[C@H](C)c3cc(cs3)CCCC(=O)N,-8.916,29,-0.30744827586206896
Cc1c(C#N)cccc1[C@@H](C)Nc(nnc2C)c(c23)cc(nc3)-c4cnccn4,-8.853,29,-0.3052758620689655
Cc1cccc(c1C)CNC(=O)N[C@@H](CC(C)C)C(=O)CCc2cn(nn2)CCCC[NH3+],-8.84,32,-0.27625
COc(cc1)cc(c12)c(c[nH]2)CCC(=O)Nc(cc3)cc(c34)CN(C[C@@H]4C)c5cncnc5,-8.801,33,-0.2666969696969697
COc(cc1)cc(c12)c(c[nH]2)CCC(=O)c(ncn3)c(c34)cc(s4)CCF,-8.773,27,-0.3249259259259259
O=C1NCC[C@H]1C[C@@H](CO)NC(=O)[C@H](CC(C)C)NNCCCc2cccc(c2)Oc3ccccc3,-8.747,36,-0.24297222222222223
COc(cc1)cc(c12)c(c[nH]2)CC(=O)c(nc3)nc(c34)cccc4,-8.721,24,-0.363375
OCCN(CC1)CCN1C(=O)c(ccc2C)cc2Nc3nccc(n3)-c4cccnc4,-8.631,31,-0.27841935483870967
COc(cc1)cc(c12)c(c[nH]2)CC(=O)NCCSC(=O)C,-8.627,21,-0.41080952380952385
COc(cc1)cc(c12)c(c[nH]2)CC(=O)Nc3ccncc3,-8.557,21,-0.4074761904761905
CC[NH+](CC)CCNC(=O)c1c(C)[nH]c(c1C)Cn(c(n2)N)c(c23)cccc3,-8.495,28,-0.30339285714285713
OC[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)c2ccc(F)c(F)c2F,-8.464,20,-0.4232
c1ccccc1[C@@H]2C[C@H]2NC(=O)c3cc(Cl)cc(c3)CN[C@@H](CC4)C(=O)Nc(c45)c(F)cc(F)c5,-8.431,35,-0.24088571428571426
SCCNC(=O)CCNc1nccc(n1)-c2cccnc2,-8.414,21,-0.40066666666666667
FC(F)(F)c1cccc(c1C)[C@@H](C)Nc(nnc2C)c(c23)cc(cc3)NC(=O)CCC(=O)[O-],-8.405,33,-0.2546969696969697
OCC(CO)CCc(ccn1)c(c12)cc[nH]2,-8.365,16,-0.5228125
n1ccnc(c12)c(=O)n(CCC(C)C)c(n2)SCC(=O)Cc(c[nH]3)c(c34)cc(Cl)cc4,-8.364,31,-0.26980645161290323
C[N@H+]1CC[C@@H](CC1)NC(=O)NCc2ccc(C#N)cc2,-8.36,20,-0.418
O=C[C@@H](N)Cc1cc(c(O)cc1O)C(=O)NCc2ccccc2,-8.347,23,-0.36291304347826087
