SMILES,docking score,Heavy_Atoms,Ligand_Efficiency
FC(F)(F)c(c1)cc(N)cc1[C@@H](C)Nc(ncn2)c(c23)cc(c(c3)OC)-c4ccccc4CC(=O)N5CCOCC5,-10.447,41,-0.2548048780487805
Cc1cccc(c1)[C@H](C)Nc(nc2)nc(c23)c(nc(c3)C)-c4ccnc(c4)NC(=O)[C@H](C)C(=O)N[C@](C)(O)CO,-10.191,40,-0.25477500000000003
CC(C)n(c1)c(=O)ccc1-c(c(c2)-c(cc3C)nc(n3)C)cc(c24)c(ncn4)N[C@H](C)c5cc(O)cc(C(F)(F)F)c5,-10.025,42,-0.2386904761904762
NC(=O)c(cn1)ccc1-c2cc(-c3cc(Br)nn3C)cc(c24)cnc(n4)N[C@H](CO)c5cccc(C(F)(F)F)c5,-9.954,40,-0.24885000000000002
CC[NH2+]CCC(=O)c(cc1)cc(c12)nc(NC[C@H](O)c3cc(N)cc(C(F)(F)F)c3)c4c2cnc(n4)NC5CC5,-9.947,40,-0.24867499999999998
FC(F)(F)c(c1)cccc1[C@H](CC)Nc(ncn2)c(c23)cc(-c(c4)ncc(c45)NC(=O)CC5)c(c3)-c6cc(C)cc(=O)n6Cc7ccc(C)c(c7)C[NH3+],-9.898,53,-0.18675471698113208
CC(=O)Nc(c(C)cn1)cc1-c(c(c2)OC)cc(c23)c(ncn3)N[C@H](C)c4cc(N)cc(C(F)(F)F)c4,-9.876,37,-0.2669189189189189
OCCN(C)C(=O)c(c1)cccc1-c(c(c2)-c(cc3)ccc3C)cc(c24)c(ncn4)N[C@H](C)c5cc(O)cc(C(F)(F)F)c5,-9.85,44,-0.22386363636363635
CCOc1cc(N)cc(c1)-c(c2)c([C@H](C)CC)cc(c23)c(ncn3)N[C@H](C)c4ccc(C(F)(F)F)cc4N,-9.78,38,-0.2573684210526316
CC[C@H](O)C(=O)N1CCC(CC1)c2ccnc(c2)-c(c3)c(Cc4cccc(C)c4)cc(c35)ncnc5N[C@H](C)Cc6cccc(C)c6,-9.722,47,-0.2068510638297872
COc1ccc(cc1OC)-c2cnc(nc2-c3ccoc3)NC[C@H](C)c4cc(C(F)(F)F)ccc4N,-9.718,36,-0.26994444444444443
CCOc1nc(cs1)-c2cnc(-c3ccncc3)nc2N[C@H](CO)c4cc(N)cc(C(F)(F)F)c4,-9.695,35,-0.277
C1CCCCN1C(=O)OC(=O)c(c2)cccc2-c(c(c3)-c4cncnc4C)cc(c35)ncnc5N[C@H](CO)c6cc(N)cc(C(F)(F)F)c6,-9.622,49,-0.1963673469387755
CN(C)C(=O)Cn(c1)ncc1-c(c(c2)OC)cc(c23)c(ncn3)N[C@H](C)c4cc(N)cc(C(F)(F)F)c4,-9.616,37,-0.2598918918918919
OCc(c1)cccc1-c2cc(-c3ccccc3C)cc(c24)cnc(n4)NC(=O)N[C@H](C)c5cccc(C(F)(F)F)c5,-9.578,41,-0.23360975609756096
CCN(C)C(=O)n1cnc(c1)-c(c2)c(-c3cccc(c3)C(=O)N(C)C)cc(c24)c(ncn4)N[C@H](C)c5cccc(C(F)(F)F)c5,-9.567,45,-0.2126
C1COCCN1C(=O)COc(c(c2)OC)cc(c23)c(ncn3)N[C@H](C)c4cc(N)cc(C(F)(F)F)c4,-9.506,36,-0.26405555555555554
CC(C)c1ccc(cc1)-c(cn2)c(n23)nc(-c4ccc(F)cc4)nc3N[C@H](C)c5cc(C(F)(F)F)ccc5N,-9.504,39,-0.24369230769230768
NC(=O)C(=O)N(C)[C@@H]1CCCN(C1)c2cccc(c2)-c(cc(c3)-c4cn(C)cn4)c(c35)nc(nc5)NCc6cccc(c6)C(F)(F)CO,-9.473,48,-0.1973541666666667
CN(C)C(=O)Cn(cn1)cc1-c(c(c2)-c(cc3C)cc(=O)n3C)cc(c24)ncnc4N[C@H](C)c5cccc(Cl)c5,-9.414,40,-0.23535
CC(=O)NC(=O)Cn1ccc(c1)-c(c2)c(-c3ccncc3)cc(c24)ncnc4N[C@H](C)c5cccc(c5)[C@H](C)O,-9.391,40,-0.234775
Nc1ccccc1[C@H](C)Nc(n2)c(C(=O)N)c(n23)nc(-c4ccc(C(=O)[O-])cc4)cc3-c5ccc(F)cc5,-9.372,38,-0.24663157894736842
CCN(C)C(=O)Cn1ccc(n1)-c(c2)c(-c3cc(OC)ccc3OC)cc(c24)ncnc4N[C@H](C)c5cccc(C)c5,-9.302,42,-0.22147619047619047
[NH3+]CCN(C)[C@H](C)c1ccncc1-c(cc(c2)-c3ccn(C)c(=O)c3)c(c24)nc(nc4)N[C@@](F)(C)c5cc(O)cc(c5)N(C)C,-9.281,45,-0.20624444444444445
Cc1ccnc(n1)-c(nc(C)c2)c(c23)nc(nc3)N[C@H](C)c4cc(N)cc(C(F)(F)F)c4,-9.267,32,-0.28959375
COc(c1)cccc1-c(c(c2)-c(n3CC)cccc3=O)cc(c24)ncnc4N[C@H](C)c5ccc(C(F)(F)F)cc5N,-9.226,41,-0.22502439024390247
FC(F)(F)c(c1)cc(cc1N)[C@H](CO)Nc(ncn2)c(c23)cc(-c4cnccn4)c(c3)-c5cccc(c5)C(=O)OC(=O)N6CCCCC6,-9.224,48,-0.19216666666666668
Cc1sccc1-c(c2)nc(c(c23)nccn3)NC(=O)Cc(ccc4)c(c45)cccc5,-9.154,30,-0.3051333333333333
CN(C)C(=O)c(nc1)ccc1-c(c(c2)-c(n3)n(C)cc3C)cc(c24)c(ncn4)N[C@H](C)c5cc(O)cc(C(F)(F)F)c5,-9.149,42,-0.21783333333333332
c1cccc(c12)c(ccc2)CC(=O)Nc(c(c34)nccn4)nc(c3)-c5cnccn5,-9.145,30,-0.30483333333333335
