SMILES,docking score,Heavy_Atoms,Ligand_Efficiency
CC(=O)NCCC(=O)c(c(c1)OC)cc(c12)c(nc(n2)C)N[C@H](C)c3cc(N)cc(C(F)(F)F)c3,-10.997,35,-0.3142
OC[C@@H](O)COC(=O)CCCCCCCCc1cccc(c1)NS(=O)(=O)c2c(F)cccc2F,-9.86,34,-0.29
C[NH2+]C[C@@H](O)CCCCCNC(=O)CCC(=O)NCCc1ccc(Cl)c(Cl)c1,-9.286,28,-0.33164285714285713
c1ccc(OC)c(c12)nc([nH]2)CCc3cccc(c3F)-c4c(C)nn(C)c4C,-8.912,28,-0.31828571428571434
CCNC(=O)[C@H]1O[C@H]([C@H](O)[C@@H]1O)c2cccc(C(=O)[O-])c2,-8.845,21,-0.4211904761904762
O=C1C=CCN1c2cccc(c2)NCCCCCc3ccccn3,-8.738,24,-0.3640833333333333
O=c1ccc(cn1C)C(=O)NCCCNC(=O)c2cc(c[nH]2)C(=O)c3c(Cl)cccc3Cl,-8.724,32,-0.272625
c1c[nH]c(=O)c(n12)c(C)cc2CCCNC(=O)c3ccc(S(=O)=O)cc3,-8.572,26,-0.3296923076923077
O=C1C=CCN1c2cccc(c2)Nc3cc(Cl)ccc3O,-8.521,21,-0.4057619047619048
NC(=[NH2+])N(CC1)CCC1n(nnc2C)c2-c3cccc(n3)-c4ccccc4CO,-8.446,29,-0.29124137931034483
OC[C@@H](O)C(=O)c1ccc(B(O)O)cc1,-8.384,15,-0.5589333333333334
Cc1ccccc1CC(=O)Nc2cc(C)c(c(C)c2)S(=O)(=O)NCC(=O)[C@@H](CO)C(C)C,-8.336,32,-0.2605
Cc1c(C#N)cccc1[C@@H](C)Nc(nnc2C)c(c23)cc(nc3)-c4cc(Cl)c[nH]c4=O,-8.329,31,-0.26867741935483874
COc(cc1)cc(c12)[nH]c(n2)CCc3c(Cl)cccc3Cl,-8.294,21,-0.394952380952381
c1ccccc1Cn2cc(ccc2=O)NCC[C@H](CC3)c(c34)c5c(cc4)OCC5,-8.289,29,-0.2858275862068965
