SMILES,docking score,Heavy_Atoms,Ligand_Efficiency
CCc1cccc(c1)C[C@@H](B(O)O)Nc2cc(-c3cc[nH]n3)ccc2O,-10.18,26,-0.3915384615384615
c1[nH+]ccn1[C@@H]([C@H](O)[C@@H]2O)O[C@@H]2C[C@@H](C)NC(=O)c3cc(cc(O)c3O)-c4ccc(F)cc4,-9.453,33,-0.28645454545454546
CCc1cccc(c1)C[C@@H](B(O)O)Nc2cn(C)c(n2)CCc3nc(C)c(C)nc3C,-9.317,31,-0.30054838709677417
Fc1ccc(C)c(c12)[nH]c(c2)C(=O)[C@@H]3O[C@@H]([C@@H](O)[C@H]3O)[C@H](O)c4ccc(Cl)c(F)c4,-9.313,30,-0.31043333333333334
[NH2+]=C(N)c(c1)sc(c12)cccc2CCOCCOCCOCCOCCO,-8.942,27,-0.3311851851851852
NC(=[NH2+])c1cc(cs1)-c2cccc(c2)NNc3cccc(C(F)(F)F)c3,-8.933,26,-0.34357692307692306
CCC(=O)NCCCOc(n[nH]1)c(c12)cc(cn2)NCc3ccc(C)cc3,-8.928,27,-0.3306666666666667
c1ccccc1C[C@@H](NC(=O)[C@H](O)[C@H](C)[NH3+])CC[NH2+]C[C@H](N)C=O,-8.902,24,-0.3709166666666666
Cc1ccccc1C[NH2+]CCCCCCCCC(=O)OC[C@H](O)CO,-8.889,25,-0.35556
O=[N+]([O-])OCCOc(c(c1)OC)cc(c12)c(nc(n2)C)N[C@H](C)c3cc(N)cc(C(F)(F)F)c3,-8.873,34,-0.2609705882352941
COc1cccc(c1)[C@@H](C)NC(=O)CNC(=O)[C@@H](CC(C)C)NC(=[NH2+])N,-8.841,26,-0.3400384615384615
Cc1c(C#N)cccc1[C@@H](C)Nc(nnc2C)c(c23)cc(nc3)C(=O)/C=C/c4ccc(O)c(O)c4,-8.837,35,-0.25248571428571426
Cc1ccc(cc1C)CNC(=O)N[C@H](CC(C)C)C(=O)c(n2)[nH]c(c23)cccc3,-8.832,29,-0.3045517241379311
O=P([O-])OCC(C)(C)[C@@H](O)C(=O)c1ccc(cc1)C(=O)NCc(ccc2)c(c23)OCCO3,-8.797,32,-0.27490625
OC[C@@H](O)COC(=O)CCCCCCCCN/N=C/c1ccc(O)cc1,-8.729,26,-0.3357307692307692
n1cnc(C)c(c12)ncn2[C@@H]3O[C@@H]([C@@H](O)[C@H]3O)Cc4ccc(O)c(O)c4,-8.726,26,-0.33561538461538465
n1cn(C(C)C)c(c12)nc(N[C@H](CC)CO)nc2N[C@H](C(=O)NC)Cc(c[nH]3)c(c34)cccc4,-8.723,34,-0.2565588235294118
COc1cccc(c1)-c(cc2)cc(c23)n[nH]c3NCC[C@H](NC(=O)[C@H](O)[C@H](C)[NH3+])Cc4ccccc4,-8.711,36,-0.24197222222222223
n1cnc(NC)c(c12)ncn2[C@@H]3O[C@@H]([C@H](F)[C@H]3O)CCc4ccc(O)c(O)c4,-8.648,28,-0.30885714285714283
c1ccccc1[C@@H](CC)NC(=O)c(c2)sc(c23)c(n[nH]3)NC(=O)c4ccc(cc4)C(CO)CO,-8.638,34,-0.2540588235294118
Cc1c(C#N)cccc1[C@@H](C)Nc(nnc2C)c(c23)cc(nc3)N4CCCC4=O,-8.607,29,-0.29679310344827586
COc1ccc(cc1)NC(=O)CN(C)c(cc2)cc(c23)CCC(=O)N3,-8.599,25,-0.34396
OC[C@@H](O)COC(=O)CCCCCCCCc(co1)c(=O)c(c12)ccc(c2)O,-8.557,28,-0.30560714285714285
Fc1ccc(C)c(c12)[nH]c(c2)C(=O)NCc(ccc3)c(c34)OCCO4,-8.541,25,-0.34164
COCCn1cc(cn1)Cc2cccc(c2)CNC(=O)c3cc(cc(O)c3O)-c4ccc(F)cc4,-8.531,35,-0.24374285714285715
OCCOCCOCCOCCOCCOCCCc(c[nH]1)c(c12)cccc2,-8.529,28,-0.30460714285714285
O=P([O-])OCC(C)(C)[C@@H](O)C(=O)CC(=O)Nc1ccncc1F,-8.516,23,-0.37026086956521737
CCNc(ncn1)c(c12)ncn2[C@@H]3O[C@@H]([C@@H](O)[C@H]3O)CNc4cccc(C)c4,-8.507,28,-0.3038214285714286
c1cccc(c12)c(c[nH]2)C[C@@H](C(=O)NC)Nc3nc(SC)nc(n3)N4CC[NH2+]CC4,-8.507,30,-0.28356666666666663
Cc1ccc(cc1)Cc2cc(O)c(O)c(c2)C(=O)NC/C=C/[C@H]3O[C@H]([C@H](O)[C@@H]3O)C(=O)C4(F)CC4,-8.484,35,-0.2424
Cc1ccc(C)c(c1)CNC(=O)[C@H](c2ccccc2)NC(=O)[C@H](CC(C)C)[C@H](O)C(=O)NO,-8.483,33,-0.2570606060606061
