SMILES,docking score,Heavy_Atoms,Ligand_Efficiency
CC(C)NC(=O)c(c1)[nH]c(c12)c(ccc2)N[C@H](C)c3cccc(c3)-c4cn[nH]c4,-10.098,29,-0.34820689655172415
Fc1ccc(C)c(c12)[nH]c(c2)C(=O)N[C@@H]3CCC[C@@H](C3)C(=O)c(cn4)cc(c45)c[nH]n5,-9.972,31,-0.3216774193548387
OCCOCCOCCOCCOCCc(c(c12)cccc2)nc(n1)Nc3ccc(F)c(Cl)c3,-9.383,34,-0.2759705882352941
COc(cc1)cc(c12)c(c[nH]2)CC(=O)c3cc(ncn3)Nc(cc4)cc(c45)n(C)c(=O)n5C,-9.052,33,-0.27430303030303027
c1cccc(c12)c(ccc2)CC(=O)[C@@H](C)Nc(n3)[nH]c(=O)c(c34)cnn4C5CCCC5,-8.988,31,-0.28993548387096774
Cc(c1)c(C)cc(c12)n(c(n2)N)C(=O)[C@H](C)Nc(n3)[nH]c(=O)c(c34)cnn4-c5ccccc5C,-8.979,34,-0.2640882352941176
O=CCCc1ccc(cc1)CCCCCCCCC(=O)OC[C@H](O)CO,-8.966,26,-0.3448461538461538
Nc1n[nH]c(c12)cc(cc2)-c(nc(n3)N)cc3[C@H](C)c4cccc(c4)-c5cn[nH]c5,-8.957,30,-0.2985666666666667
COCCc1ccc(c(C)c1)CNC(=O)N2CC(C2)OC(C)C,-8.921,23,-0.3878695652173913
c1c(C)cnc(n12)c(cn2)C(=O)N[C@H](CC)c3ccc(cc3)OC[C@H](O)CO,-8.86,28,-0.3164285714285714
Cc1cccc(c1C)CNC(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)NO,-8.831,30,-0.29436666666666667
Fc1cc(F)ccc1CNC(=O)N[C@H](CC(C)C)C(=O)C(=O)c2cccc(n2)-c3cnn(C)c3,-8.776,34,-0.2581176470588235
CCCCCCCCC(=O)SCCNC(=O)CCNC(=O)NCc1ccccc1,-8.709,29,-0.3003103448275862
COc(c1)c(OC)cc(c12)c(nc(n2)C)N[C@H](C)c3cccc(c3)CCO,-8.641,27,-0.32003703703703706
OC[C@@H](O1)[C@@H](O)C[C@@H]1C(=O)c(cn2)cc(c23)c[nH]n3,-8.584,19,-0.4517894736842105
CCc(c(=O)[nH]1)c(CC)nc1-c2cc(ccc2OCCC)NC(=O)CC(=O)c(cc3)cc(c34)cn[nH]4,-8.567,36,-0.23797222222222222
COc(cc1)cc(c12)c(c[nH]2)CC(=O)NC3CC3,-8.563,18,-0.47572222222222227
CCOC(=O)c(c1)c(OC)cc(c12)nc(C)nc2N[C@H](C)c3cc(N)cc(C(F)(F)F)c3,-8.528,32,-0.2665
O=C([O-])N[C@@H](C)C(=O)c(c(c1)OC)cc(c12)c(nc(n2)C)N[C@H](C)c3cc(N)cc(C(F)(F)F)c3,-8.507,35,-0.24305714285714286
COc(cc1)cc(c12)c(c[nH]2)CC(=O)c3ccc(o3)CN(C(=O)CS4)C45CCN(C(=O)C)CC5,-8.487,34,-0.24961764705882353
O[C@@H](C1)CCN1Nc(ccc2C)cc2Nc3nccc(n3)-c4cccnc4,-8.459,27,-0.3132962962962963
Cc1cccc(c1C)C(=O)C(=O)N[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O,-8.457,24,-0.35237500000000005
Cc1cccc(c1C)CNC(=O)N[C@@H](CC(C)C)C(=O)c2cc(OCC(C)(C)O)ccc2C(=O)N,-8.423,35,-0.24065714285714285
Cc1ccc(cc1C)CNC(=O)N[C@H](CC(C)C)C(=O)CC[NH+]2CCCCC2,-8.394,28,-0.29978571428571427
Nc(c1)cccc1C(=O)[C@@H](C)Nc(n2)[nH]c(=O)c(c23)cnn3C4CCCC4,-8.378,27,-0.3102962962962963
COc(cc1)cc(c12)c(c[nH]2)CC(=O)c(cc3F)cc(c34)n(c(n4)C)C(C)C,-8.372,28,-0.299
O=P([O-])([O-])OC[C@H](O)COC(=O)CCCCCCC/C=C/CCc(c[nH]1)c(c12)cccc2,-8.35,32,-0.2609375
