SMILES,docking score,Heavy_Atoms,Ligand_Efficiency
c1ccc(C(C)=C)cc1C(C)(C)NC(=O)NCc2ccccn2,-8.941,23,-0.38873913043478264
c1cccc(c12)n(C)c(N)[n+]2C[C@@H](O)COc3ccccc3,-8.819,22,-0.4008636363636364
c1cccc(Cl)c1-c2c(c(on2)C)C(=O)Nc3cccc(c34)nsn4,-8.413,25,-0.33652
c1ccncc1-c2nc([nH]n2)CCNC(=O)c3cccc(c34)nccc4,-8.397,26,-0.32296153846153847
O=S(=O)(C)N1C[C@@H](CCC1)c(cc2)ncc2C(=O)NCCCc(cc3)ccc3Cl,-8.018,29,-0.27648275862068966
c1cccc(c12)cccc2C(=O)NNC(=O)c3cc(OC)c(cc3)OC,-8.008,26,-0.30799999999999994
c1cccc(c12)[nH]c(n2)[C@@H](C)NC(=O)c3cn(c(=O)cc3)CC(=O)NCc(cc4)ccc4F,-7.984,33,-0.24193939393939393
O=S1(=O)C[C@H](CC1)N2N=C(CCC2=O)C(=O)NCC3(CC3)c4c(Cl)cccc4,-7.98,28,-0.28500000000000003
c1cc(C)ccc1CNc(nc(c23)n(C)c(=O)[nH]c3=O)n2C[C@@H](O)COc4c(C)cccc4,-7.97,33,-0.24151515151515152
c1cc(OC)cc(c12)[nH]c(=O)c(c2)CNc3c(NC(=O)C)cccc3,-7.932,25,-0.31728
s1cccc1-c2nn(c(=O)cc2)CCNC(=O)c3ccc(Cl)nc3,-7.909,24,-0.3295416666666667
c1cccc(OC)c1-c(ocn2)c2C(=O)Nc3ncc(s3)Cc4ccc(F)cc4,-7.909,29,-0.27272413793103445
c1cc(OC)ccc1C2(CC2)NCc3cnc(nc3)-c4c(C)cccc4,-7.904,26,-0.304
c1cc(C)ccc1-c2nc(on2)[C@@H](C)NC(=O)c3cc(OC)c(cc3)OC,-7.869,27,-0.29144444444444445
c1n(C)c[nH+]c1CNC(=O)c2c(cccn2)-c3cc(C[NH3+])ccc3,-7.835,24,-0.32645833333333335
c1ccccc1CCC(=O)N(C[C@H]2O)C[C@@]2(O)C[NH2+]CCN3CCOCC3,-7.821,27,-0.2896666666666667
c1cscc1C(=O)N2[C@@H](CCC2)c3cc(ncc3)CNC(=O)C,-7.82,23,-0.34
c1cc(C)ccc1CC(=O)Nc(cc2)ccc2[C@@H]3C[C@@H](CCO3)NC(=O)C,-7.82,27,-0.2896296296296296
O=[N+]([O-])c(c1)ccc(c12)nc(s2)NC(=O)COc3c(CC)cccc3,-7.814,25,-0.31256
c1nn(C)c(C)c1-c2ccnc(n23)cc(n3)C(=O)N[C@H](C)CCc4c(Cl)cccc4,-7.807,30,-0.26023333333333337
C1CCCCc(c12)cc(=O)n(n2)C[C@H](CC)NC(=O)Cc3c(Cl)cc(F)cc3,-7.788,28,-0.27814285714285714
c1cccc(C)c1-c2nc(on2)[C@@H](C)NC(=O)c3ccc(cc3)OCC,-7.785,26,-0.2994230769230769
CCCCC(=O)Nc1sc(nn1)CCOCCOCCc2sc(nn2)NC(=O)CCCC,-7.774,32,-0.2429375
COc(c1)ccc(c12)n(C)cc2C[C@H](C)NC(=O)Cc3cccc(c34)cccn4,-7.749,29,-0.26720689655172414
O1COc(c12)ccc(c2)CN3[C@H](C(=O)N(C3=S)c4ccccc4)CC(=O)Nc5cc(Cl)ccc5,-7.741,34,-0.22767647058823529
n1cccc(c12)cc(C(F)F)n2CCC(=O)NCc3ccccn3,-7.738,24,-0.3224166666666667
o1cccc1-c2c(-c3cnccn3)cnc(n2)NCc4cc(OC)ccc4,-7.718,27,-0.28585185185185186
c1cccc(Cl)c1C2=NO[C@H](C2)C(=O)Nc(c3)ccc(c34)OCO4,-7.703,24,-0.32095833333333335
c1n(C)nc(C)c1C(=O)N[C@@H]2CCC[C@H]([C@@H]2O)[NH+]3CCCC3,-7.693,22,-0.34968181818181815
Cc1n(CC)nc(C)c1-c2cc(n[nH]2)C(=O)NCC(C)(C)c3cc(F)ccc3,-7.679,28,-0.27425
c1ccnc(c12)n(C)c(=O)n2CC(=O)Nc(c3)ccc(c34)OC(O4)(C)C,-7.659,26,-0.29457692307692307
s1cnc(C)c1-c2oc(nn2)CNC(=O)c3c(OC)cc(cc3)OC,-7.656,25,-0.30624
c1cccc(Cl)c1-c2c(c(on2)C)C(=O)Nc3c(OC)ccc(c3)C,-7.655,25,-0.3062
O1COc(c12)ccc(c2)N(S(=O)(=O)C)CC(=O)NCCCOCC,-7.638,24,-0.31825
c1cccc(c12)nc(-c3n(C)ncc3)cc2C(=O)NCC(C)(C)c4c(F)cccc4,-7.631,30,-0.2543666666666667
c1c(C)nn(c12)c(C)c(c(n2)C)CCC(=O)NCCc3cc(C)c(cc3)OC,-7.62,28,-0.27214285714285713
c1cccc(c1[N+](=O)[O-])NC(=O)CSc2oc(nn2)CNc3ccc(F)cc3,-7.617,28,-0.27203571428571427
n1ccccc1-c(cnc(n2)C)c2-c3ccc(cc3)CNC(=O)Cc4c(F)cccc4,-7.613,31,-0.24558064516129033
C1COCCN1c2cc(ccn2)C(=O)NCCc3cc(C)c(cc3)OC,-7.58,26,-0.2915384615384615
c1c(=O)[nH]c(C)nc1C[C@H](c2ccc(Cl)cc2)NC(=O)Cc(c3)ccc(c3C)OC,-7.579,30,-0.2526333333333333
Cc1nn(C(C)C)c(C)c1C[N@@H+]2CC[C@H](CC2)c3ncc(cc3)Nc4nc(C)ccc4,-7.577,31,-0.24441935483870966
c1cccc(c12)nc(C)n(c2=O)CC(=O)NCc3ccccc3,-7.577,23,-0.32943478260869563
s1nnc(C)c1C(=O)N2C[C@H](CCC2)c(nc3)nc(C)c3C(=O)NCc4ccccc4,-7.569,31,-0.24416129032258063
c1c(Cl)cnn1Cc(no2)nc2C(=O)NCCc3ccccc3,-7.546,23,-0.32808695652173914
n1cn(CC)c(c12)ccc(c2)NC(=O)c3c(cccc3)OCCN4C(=O)CCC4,-7.543,29,-0.26010344827586207
O1COc(c12)ccc(c2)CNC(=O)C(=O)Nc3c(Cl)ccc(Cl)c3,-7.538,24,-0.3140833333333333
c1cc(F)ccc1-c(ocn2)c2C(=O)Nc3cc(ccc3OC)-c4ccccc4,-7.521,29,-0.2593448275862069
c1ccccc1[C@H]([NH2+]CC([O-])=O)c2c(ccc(Br)c2)NC(=O)CCNC(=O)OCc3ccccc3,-7.51,35,-0.21457142857142855
c1ccccc1CCNC(=O)c2nc(C)nc(c2)[C@@H]3C[N@H+](C)CCC3,-7.51,25,-0.3004
C1CCCc(c12)sc(c2C#N)NC(=O)COc3cc(Cl)c(C)cc3,-7.503,24,-0.312625
C1C[NH2+]C[C@H]1c2nn(c(c23)nccn3)CCNC(=O)Cc(c4)ccc(c4C)OC,-7.501,29,-0.2586551724137931
c1cccc(Cl)c1-c2c(c(on2)C)C(=O)Nc3cc(Cl)c(cc3)OC,-7.499,25,-0.29996
c1cc(OC)ccc1-c2c(nco2)C(=O)NCCCn3cc[nH+]c3,-7.497,24,-0.312375
Fc1ccc(cc1)CCNC(=O)[C@@H](c(c23)nn(c2)C)CN(C3)C(=O)Cc4ccc(F)cc4,-7.496,32,-0.23425
c1cc(F)c(Cl)cc1C(=O)NC[C@H]2[C@H](O)[C@H](O)COC2,-7.491,20,-0.37455
C=CCNC(=O)Cn1nc(ccc1=O)-c2c(Cl)cccc2,-7.49,21,-0.3566666666666667
COc(c1)c(OC)c(OC)cc1C(=O)NC(=S)Nc2cc([N+](=O)[O-])ccc2,-7.485,27,-0.27722222222222226
c1cccc(Br)c1N(S(=O)(=O)C)CC(=O)Nc2ccc(cc2)OC,-7.458,24,-0.31075
CCOCCOC(=O)c(cc1)ccc1NC(=O)COc2c(Cl)cccc2,-7.456,26,-0.2867692307692308
c1cccc(c12)nc(n2CC)CNC(=O)CCn3c(=O)oc(c34)cc(Cl)cc4,-7.44,28,-0.26571428571428574
c1csc(c2)c1n(c23)c(CC)nn(c3=O)CC(=O)NCCc(cc4)ccc4OC,-7.438,29,-0.25648275862068964
C1CCCc(c12)cccc2NC(=O)Cn3nc(ccc3=O)-c4c(F)cccc4,-7.437,28,-0.2656071428571429
c1cnncc1CNC(=O)c2cc(cnc2)Cc3cc(F)ccc3,-7.436,24,-0.30983333333333335
COc1ccc(cc1)CCNC(=O)[C@@H](NC(=O)c(c23)cccc2)CC(=O)N[C@H](C(=O)NCCO3)Cc4ccccc4,-7.432,41,-0.18126829268292685
c1cc(OC)ccc1-c2c(nco2)C(=O)Nc3ccc(cc3)C[NH+]4CCCC4,-7.431,28,-0.26539285714285715
C1C[C@H](OC)CC[C@H]1C(=O)NC2(CCCC2)c(c3)ccc(c34)OCO4,-7.429,25,-0.29716000000000004
c1cccc(OCC)c1N(S(=O)(=O)C)CC(=O)Nc2ccc(cc2)OC,-7.429,26,-0.28573076923076923
c1cccc(c12)nc([nH]2)[C@@H](C)NC(=O)c3cc(C)ccc3,-7.414,21,-0.35304761904761905
c1cc(OC)ccc1OCC(=O)Nc2cc(F)ccc2,-7.406,20,-0.37029999999999996
Cc1cc(C)cc(c12)c(C)c([nH]2)C(=O)N[C@@H]([C@H]3O)CCCC[C@H]3O,-7.405,24,-0.30854166666666666
