SMILES,docking score,Heavy_Atoms,Ligand_Efficiency
COc1ccccc1CN2C(=O)N[C@H](C2=O)CCC(=O)NCCc(c[nH]3)c(c34)cc(F)cc4,-9.106,33,-0.27593939393939393
CC(=O)N(CC1)c(c12)ccc(c2)CNC(=O)Nc3ccccc3Br,-9.078,24,-0.37825
COc1c(OC)cc(cc1OC)NC(=O)Cn2c(N)nc(C)cc2=O,-8.96,25,-0.35840000000000005
COc1ccc(cc1OC)NC(=O)NCc(cc2)cc(c23)CCN3C(=O)C,-8.843,27,-0.32751851851851854
COCc1nnc(s1)NC(=O)CCn(cc2C(=O)C)c(c23)cccc3,-8.708,25,-0.34832
COc(cc1)cc(c12)c(c[nH]2)CCNC(=O)CCc3nnc(s3)C(=O)Nc4ccccc4,-8.363,32,-0.26134375
CCc1ccccc1NC(=O)N[C@@H]2CCN(C2=O)c3cc(C)cc(C)c3,-8.301,26,-0.31926923076923075
Cc1ccc(cc1)CCNC(=O)c(c2)nn(c23)cc(C)nc3N4CCSCC4,-8.286,28,-0.29592857142857143
Fc1ccccc1CNC(=O)c2ccc(cc2)Oc3nccnc3Sc4ccccc4,-8.279,31,-0.26706451612903226
COc(cc1)cc(c12)c(c[nH]2)CCNC(=O)CCCS(=O)(=O)c3nc(cc(n3)C(F)(F)F)-c4cccs4,-8.201,37,-0.22164864864864867
COc(cc1)cc(c12)c(c[nH]2)CCNC(=O)CCc(nn3)c(=O)n(c34)cccc4,-8.185,29,-0.2822413793103448
FC(F)(F)c(c1)cccc1CNC(=O)NCc2cc(no2)-c3cccc(Cl)c3,-8.099,28,-0.28925
CCc1ccc(cc1)CNC(=O)c(c2)[nH]c(c23)c4c(cc3)cccn4,-8.04,25,-0.32159999999999994
c1cc(Cl)ccc1NC(=O)Cc2nc(n[nH]2)Cc3ccccc3F,-8.003,24,-0.33345833333333336
COc1cccc(c1)[C@H](C)NC(=O)c(cc2)cc(c23)OCCO3,-7.947,23,-0.34552173913043477
c1ccccc1-c2cn(c(c23)c(=O)n(cn3)CCOC)CC(=O)Nc4cccc(C#N)c4,-7.928,32,-0.24775
COCCn(cc1)c(c12)cccc2OCC(=O)NCCc(n3)[nH]c(c34)cccc4,-7.928,29,-0.2733793103448276
COc1cccc(c1)C(=O)Cc(n2)c(=O)[nH]c(c23)cc(cc3)C(=O)NCc4ccc(C)cc4,-7.919,33,-0.23996969696969694
