original_smiles,fragment_smiles,fragment
COc1cc2nc(C)nc(N[C@H](C)c3ccc(-c4ccccc4CO)s3)c2cc1OC,*c1nc(C)nc2cc(OC)c(OC)cc12,*c1nc(C)nc2cc(OC)c(OC)cc12
COc1cc2nc(C)nc(N[C@H](C)c3ccc(-c4ccccc4CO)s3)c2cc1OC,*[C@H](C)c1ccc(-c2ccccc2CO)s1,*[C@H](C)c1ccc(-c2ccccc2CO)s1
COc1cc2nc(C)nc(N[C@H](C)c3ccc(-c4ccccc4CO)s3)c2cc1OC,*c1ccccc1CO,*c1ccccc1CO
COc1cc2nc(C)nc(N[C@H](C)c3ccc(-c4ccccc4CO)s3)c2cc1OC,*c1ccc([C@@H](C)Nc2nc(C)nc3cc(OC)c(OC)cc23)s1,*c1ccc([C@@H](C)Nc2nc(C)nc3cc(OC)c(OC)cc23)s1
COc1cc2nc(C)nc(N[C@H](C)c3ccc(-c4cnc5n4CCC5)s3)c2cc1OC,*c1nc(C)nc2cc(OC)c(OC)cc12,*c1nc(C)nc2cc(OC)c(OC)cc12
COc1cc2nc(C)nc(N[C@H](C)c3ccc(-c4cnc5n4CCC5)s3)c2cc1OC,*[C@H](C)c1ccc(-c2cnc3n2CCC3)s1,*[C@H](C)c1ccc(-c2cnc3n2CCC3)s1
COc1cc2nc(C)nc(N[C@H](C)c3ccc(-c4cnc5n4CCC5)s3)c2cc1OC,*c1cnc2n1CCC2,*c1cnc2n1CCC2
COc1cc2nc(C)nc(N[C@H](C)c3ccc(-c4cnc5n4CCC5)s3)c2cc1OC,*c1ccc([C@@H](C)Nc2nc(C)nc3cc(OC)c(OC)cc23)s1,*c1ccc([C@@H](C)Nc2nc(C)nc3cc(OC)c(OC)cc23)s1
Cc1nc(N[C@H](C)c2cc(N)cc(C(F)(F)F)c2)c2ccccc2n1,*c1nc(C)nc2ccccc12,*c1nc(C)nc2ccccc12
Cc1nc(N[C@H](C)c2cc(N)cc(C(F)(F)F)c2)c2ccccc2n1,*[C@H](C)c1cc(N)cc(C(F)(F)F)c1,*[C@H](C)c1cc(N)cc(C(F)(F)F)c1
COc1cc2nc(C)nc(N[C@H](C)c3cccc(N)c3)c2cc1OC,*[C@H](C)c1cccc(N)c1,*[C@H](C)c1cccc(N)c1
COc1cc2nc(C)nc(N[C@H](C)c3cccc(N)c3)c2cc1OC,*c1nc(C)nc2cc(OC)c(OC)cc12,*c1nc(C)nc2cc(OC)c(OC)cc12
COc1cc2nc(C)nc(N[C@H](C)c3ccccc3)c2cc1OC,*[C@H](C)c1ccccc1,*[C@H](C)c1ccccc1
COc1cc2nc(C)nc(N[C@H](C)c3ccccc3)c2cc1OC,*c1nc(C)nc2cc(OC)c(OC)cc12,*c1nc(C)nc2cc(OC)c(OC)cc12
COc1cc2ncnc(N[C@H](C)c3cccc4ccccc34)c2cc1OC,*[C@H](C)c1cccc2ccccc12,*[C@H](C)c1cccc2ccccc12
COc1cc2ncnc(N[C@H](C)c3cccc4ccccc34)c2cc1OC,*c1ncnc2cc(OC)c(OC)cc12,*c1ncnc2cc(OC)c(OC)cc12
COc1cc2ncnc(N[C@H](C)c3ccccc3)c2cc1OC,*[C@H](C)c1ccccc1,*[C@H](C)c1ccccc1
COc1cc2ncnc(N[C@H](C)c3ccccc3)c2cc1OC,*c1ncnc2cc(OC)c(OC)cc12,*c1ncnc2cc(OC)c(OC)cc12
COc1cc2nc(C)nc(N[C@H](C)c3cc(N)cc(C(F)(F)F)c3)c2cc1O[C@H]1CCOC1,*[C@H](C)c1cc(N)cc(C(F)(F)F)c1,*[C@H](C)c1cc(N)cc(C(F)(F)F)c1
COc1cc2nc(C)nc(N[C@H](C)c3cc(N)cc(C(F)(F)F)c3)c2cc1O[C@H]1CCOC1,*c1nc(C)nc2cc(OC)c(O[C@H]3CCOC3)cc12,*c1nc(C)nc2cc(OC)c(O[C@H]3CCOC3)cc12
COc1cc2nc(C)nc(N[C@H](C)c3cc(N)cc(C(F)(F)F)c3)c2cc1O[C@H]1CCOC1,*[C@H]1CCOC1,*[C@H]1CCOC1
COc1cc2nc(C)nc(N[C@H](C)c3cc(N)cc(C(F)(F)F)c3)c2cc1O[C@H]1CCOC1,*c1cc2c(N[C@H](C)c3cc(N)cc(C(F)(F)F)c3)nc(C)nc2cc1OC,*c1cc2c(N[C@H](C)c3cc(N)cc(C(F)(F)F)c3)nc(C)nc2cc1OC
COc1cc2nc(C)nc(N[C@H](C)c3cccc(-c4cn[nH]c4)c3)c2cc1OC,*[C@H](C)c1cccc(-c2cn[nH]c2)c1,*[C@H](C)c1cccc(-c2cn[nH]c2)c1
COc1cc2nc(C)nc(N[C@H](C)c3cccc(-c4cn[nH]c4)c3)c2cc1OC,*c1nc(C)nc2cc(OC)c(OC)cc12,*c1nc(C)nc2cc(OC)c(OC)cc12
COc1cc2nc(C)nc(N[C@H](C)c3cccc(-c4cn[nH]c4)c3)c2cc1OC,*c1cn[nH]c1,*c1cn[nH]c1
COc1cc2nc(C)nc(N[C@H](C)c3cccc(-c4cn[nH]c4)c3)c2cc1OC,*c1cccc([C@@H](C)Nc2nc(C)nc3cc(OC)c(OC)cc23)c1,*c1cccc([C@@H](C)Nc2nc(C)nc3cc(OC)c(OC)cc23)c1
CC(=O)N1c2ccc(C3=CCNCC3)cc2N(Cc2ccccc2CO)C[C@@H]1C1CC1,*C(C)=O,*C(C)=O
CC(=O)N1c2ccc(C3=CCNCC3)cc2N(Cc2ccccc2CO)C[C@@H]1C1CC1,*N1c2ccc(C3=CCNCC3)cc2N(Cc2ccccc2CO)C[C@@H]1C1CC1,*N1c2ccc(C3=CCNCC3)cc2N(Cc2ccccc2CO)C[C@@H]1C1CC1
CC(=O)N1c2ccc(C3=CCNCC3)cc2N(Cc2ccccc2CO)C[C@@H]1C1CC1,*Cc1ccccc1CO,*Cc1ccccc1CO
CC(=O)N1c2ccc(C3=CCNCC3)cc2N(Cc2ccccc2CO)C[C@@H]1C1CC1,*N1C[C@H](C2CC2)N(C(C)=O)c2ccc(C3=CCNCC3)cc21,*N1C[C@H](C2CC2)N(C(C)=O)c2ccc(C3=CCNCC3)cc21
COc1ccc2c(c1)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)N1CCC(N(C)C)CC1)c1nnc(C)n1-2,*N1CCC(N(C)C)CC1,*N1CCC(N(C)C)CC1
COc1ccc2c(c1)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)N1CCC(N(C)C)CC1)c1nnc(C)n1-2,*C(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21,*C(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21
CCCCn1cc(CNC(=O)C[C@@H]2N=C(c3ccc(Cl)cc3)c3c(sc(C)c3C)-n3c(C)nnc32)nn1,*NCc1cn(CCCC)nn1,*NCc1cn(CCCC)nn1
CCCCn1cc(CNC(=O)C[C@@H]2N=C(c3ccc(Cl)cc3)c3c(sc(C)c3C)-n3c(C)nnc32)nn1,*C(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2c(sc(C)c2C)-n2c(C)nnc21,*C(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2c(sc(C)c2C)-n2c(C)nnc21
CCCCn1cc(CNC(=O)C[C@@H]2N=C(c3ccc(Cl)cc3)c3c(sc(C)c3C)-n3c(C)nnc32)nn1,*CCCC,*CCCC
CCCCn1cc(CNC(=O)C[C@@H]2N=C(c3ccc(Cl)cc3)c3c(sc(C)c3C)-n3c(C)nnc32)nn1,*n1cc(CNC(=O)C[C@@H]2N=C(c3ccc(Cl)cc3)c3c(sc(C)c3C)-n3c(C)nnc32)nn1,*n1cc(CNC(=O)C[C@@H]2N=C(c3ccc(Cl)cc3)c3c(sc(C)c3C)-n3c(C)nnc32)nn1
COc1cc(C(=O)NNC(=O)c2cc(C(C)(C)N)cc(-c3ccc(F)cc3)n2)ccc1OC1CC1,*C(=O)c1ccc(OC2CC2)c(OC)c1,*C(=O)c1ccc(OC2CC2)c(OC)c1
COc1cc(C(=O)NNC(=O)c2cc(C(C)(C)N)cc(-c3ccc(F)cc3)n2)ccc1OC1CC1,*NNC(=O)c1cc(C(C)(C)N)cc(-c2ccc(F)cc2)n1,*NNC(=O)c1cc(C(C)(C)N)cc(-c2ccc(F)cc2)n1
