id,frag1,frag2,new_smiles
1,*c1nc(-c2cccnc2)nc2c1cnn2C,*c1cnc2ccc(NC3CCOCC3)nn12,Cn1ncc2c(-c3cnc4ccc(NC5CCOCC5)nn34)nc(-c3cccnc3)nc21
2,*C(=O)c1ccc(C)c(C#Cc2cnc3cccnn23)c1,*C(=O)CC(=O)O,Cc1ccc(C(=O)C(=O)CC(=O)O)cc1C#Cc1cnc2cccnn12
3,*C(=O)c1cnn(C)c1C(=O)Nc1ccn(CC(F)F)n1,*C(=O)c1nc2n(n1)[C@H](c1ccccc1)CC2,Cn1ncc(C(=O)C(=O)c2nc3n(n2)[C@H](c2ccccc2)CC3)c1C(=O)Nc1ccn(CC(F)F)n1
4,*C(=O)CCC(=O)[O-],*NC1CCN(Cc2c[nH]c3ccc(Cl)cc23)CC1,O=C([O-])CCC(=O)NC1CCN(Cc2c[nH]c3ccc(Cl)cc23)CC1
5,*n1c2[n+](c3ccccc31)CCCN2,*Cc1sc(C)nc1C,Cc1nc(C)c(Cn2c3[n+](c4ccccc42)CCCN3)s1
6,*N[C@@H](c1ccc(OC(F)(F)F)cc1)C(C)(C)O,*[C@H](CCN(C)C)c1ccccc1,CN(C)CC[C@@H](N[C@@H](c1ccc(OC(F)(F)F)cc1)C(C)(C)O)c1ccccc1
7,*c1ccc2[nH]c(=O)cc(NCC)c2c1,*c1ncnc2ccc(NC(=O)CCN3CCN(C)CC3)cc12,CCNc1cc(=O)[nH]c2ccc(-c3ncnc4ccc(NC(=O)CCN5CCN(C)CC5)cc34)cc12
8,*c1cc2nc(N)nc(N)c2cc1Cl,*c1ccnc(NC(=O)c2ccccc2)c1,Nc1nc(N)c2cc(Cl)c(-c3ccnc(NC(=O)c4ccccc4)c3)cc2n1
9,*N1CCN(Cc2cc(=O)oc3c(O)c(O)ccc23)CC1,*[C@@H](CC)[C@H](C)O,CC[C@@H]([C@H](C)O)N1CCN(Cc2cc(=O)oc3c(O)c(O)ccc23)CC1
10,*c1cccnc1,*C(=O)[C@@H]1CN2C(=O)CCN2C12CCCC2,O=C(c1cccnc1)[C@@H]1CN2C(=O)CCN2C12CCCC2
11,*Cc1ccc(C#N)cn1,*Nc1cc(C)nc(NC(=S)NC(=O)OCC)c1,CCOC(=O)NC(=S)Nc1cc(NCc2ccc(C#N)cn2)cc(C)n1
12,*C=O,*N1CCC(NC(=O)CN)CC1,NCC(=O)NC1CCN(C=O)CC1
13,*C1CCNCC1,*C(=O)CN(C)C,CN(C)CC(=O)C1CCNCC1
14,*N1CCC1,*NCC1CC1,C1CN(NCC2CC2)C1
15,*c1nc(N2CC(C)(C)OC(C)(C)C2)ncc1Cl,*CCC=CCC,CCC=CCCc1nc(N2CC(C)(C)OC(C)(C)C2)ncc1Cl
16,*NCc1cccc(C)c1C,*Nc1ccncc1,Cc1cccc(CNNc2ccncc2)c1C
17,*N[C@H](CO)C[C@@H]1CCNC1=O,*C(C)=O,CC(=O)N[C@H](CO)C[C@@H]1CCNC1=O
18,*N1CCCCC1,*c1cccc(C(=O)NCCc2cccc(Oc3cnc(N)nc3)c2)c1,Nc1ncc(Oc2cccc(CCNC(=O)c3cccc(N4CCCCC4)c3)c2)cn1
19,*c1ccc(NC(C)=O)cc1,*NC1CCN(C)CC1,CC(=O)Nc1ccc(NC2CCN(C)CC2)cc1
20,*c1cncc(-c2nnc3c(C)nc4ccc(CN5CCOCC5)cc4n23)c1,*C(=O)CCCN(C)C,Cc1nc2ccc(CN3CCOCC3)cc2n2c(-c3cncc(C(=O)CCCN(C)C)c3)nnc12
21,*c1ccccc1CO,*c1ccc(-[n+]2cc[n+](C)cc2)cc1,C[n+]1cc[n+](-c2ccc(-c3ccccc3CO)cc2)cc1
22,*N[C@@H]1CNC[C@H]1c1ccccc1,*C(=O)c1ncn2c1CN(C)C(=O)c1cc(N=[N+]=[N-])ccc1-2,CN1Cc2c(C(=O)N[C@@H]3CNC[C@H]3c3ccccc3)ncn2-c2ccc(N=[N+]=[N-])cc2C1=O
23,*C1C(=O)Nc2ccc(NS(=O)(=O)CC)cc21,*c1ccc(SC)cc1,CCS(=O)(=O)Nc1ccc2c(c1)C(c1ccc(SC)cc1)C(=O)N2
24,*c1ccccc1,*[C@H](c1n[nH]c(=O)o1)[C@H](C)c1c(F)ccc(C)c1C,Cc1ccc(F)c([C@@H](C)[C@H](c2ccccc2)c2n[nH]c(=O)o2)c1C
25,*CCc1nc(-c2ccccc2)oc1C,*NCCCOC(=O)Nc1ccncc1,Cc1oc(-c2ccccc2)nc1CCNCCCOC(=O)Nc1ccncc1
26,*n1c[n+](C)c2c([S-])nc(N)nc21,*Nc1ccc(OCCN2CCOCC2)c2ccccc12,C[n+]1cn(Nc2ccc(OCCN3CCOCC3)c3ccccc23)c2nc(N)nc([S-])c21
27,*Cc1ccccc1,*C(=O)c1ccc([N+](=O)[O-])c(C)c1,Cc1cc(C(=O)Cc2ccccc2)ccc1[N+](=O)[O-]
28,*N1CCCCC1,*Nc1ccc(-n2c(N)c(C(N)=O)c3nc4ccccc4nc32)cc1,NC(=O)c1c(N)n(-c2ccc(NN3CCCCC3)cc2)c2nc3ccccc3nc12
29,*NCc1ccccc1Cl,*c1cc(O)n2ncc(C(=O)NC)c2n1,CNC(=O)c1cnn2c(O)cc(NCc3ccccc3Cl)nc12
30,*c1nn(-c2cccc(S(C)(=O)=O)c2)ccc1=O,*c1ccccc1[N+](=O)[O-],CS(=O)(=O)c1cccc(-n2ccc(=O)c(-c3ccccc3[N+](=O)[O-])n2)c1
31,*CCO,*C(C)=CC(=O)c1ccc(C(F)(F)F)cc1,CC(=CC(=O)c1ccc(C(F)(F)F)cc1)CCO
32,*N1C[C@@H](c2cc(C)nc3ncnn23)CC(F)(F)C1,*C(C)(C)C(=O)O,Cc1cc([C@@H]2CN(C(C)(C)C(=O)O)CC(F)(F)C2)n2ncnc2n1
33,*C(=O)CCC(=O)[O-],*c1ccc(NC(=O)C2(C(=O)Nc3ccc(F)cc3)CC2)cc1F,O=C([O-])CCC(=O)c1ccc(NC(=O)C2(C(=O)Nc3ccc(F)cc3)CC2)cc1F
34,*c1c(-c2ccncc2)n(O)c2cccnc12,*CCCOC(=O)Nc1ccncc1,O=C(Nc1ccncc1)OCCCc1c(-c2ccncc2)n(O)c2cccnc12
35,*n1nc(-c2ccnn2-c2ccccc2)c(=O)cc1C,*Cn1cnc2c(NC3CC3)ncnc21,Cc1cc(=O)c(-c2ccnn2-c2ccccc2)nn1Cn1cnc2c(NC3CC3)ncnc21
36,*c1cc(O)n2ncc(C(=O)N[C@@H](C)CO)c2n1,*c1c2c(nc3cc(Cl)ccc13)CCCC2,C[C@@H](CO)NC(=O)c1cnn2c(O)cc(-c3c4c(nc5cc(Cl)ccc35)CCCC4)nc12
37,*c1nc(N)nc2sc(C(=O)NCC)cc12,*C(=O)CC#N,CCNC(=O)c1cc2c(C(=O)CC#N)nc(N)nc2s1
38,*C(=O)C(O)(C(F)(F)F)C(F)(F)F,*c1ccnc(NC)n1,CNc1nccc(C(=O)C(O)(C(F)(F)F)C(F)(F)F)n1
39,*c1ccnc(N2CC[C@H](F)C2)n1,*N1CCNC(=O)C1,O=C1CN(c2ccnc(N3CC[C@H](F)C3)n2)CCN1
40,*n1cnc2c(NCCN)ncnc21,*C(C)(C)c1ncccn1,CC(C)(c1ncccn1)n1cnc2c(NCCN)ncnc21
41,*Nc1cc(C(=O)NC)ccc1C,*n1nccc1-c1nn(-c2cccc(OC(F)(F)F)c2)ccc1=O,CNC(=O)c1ccc(C)c(Nn2nccc2-c2nn(-c3cccc(OC(F)(F)F)c3)ccc2=O)c1
42,*N[C@@H]1CNC[C@H]1c1ccccc1,*N(C)C,CN(C)N[C@@H]1CNC[C@H]1c1ccccc1
43,*c1nnc(N2CCN[C@@H](Cc3ccccc3)C2)cc1-c1ccncc1,*c1ccc2c(ccc(=O)n2C)c1,Cn1c(=O)ccc2cc(-c3nnc(N4CCN[C@@H](Cc5ccccc5)C4)cc3-c3ccncc3)ccc21
44,*C[C@@H](O)CCCCCCCC(=O)O,*C[C@@H](N)O,N[C@@H](O)CC[C@@H](O)CCCCCCCC(=O)O
45,*NCCC(=O)O,*c1nc(N(C)[C@H]2CCN(C)C2)nc2cc(C(C)(C)C)sc12,CN1CC[C@H](N(C)c2nc(NCCC(=O)O)c3sc(C(C)(C)C)cc3n2)C1
46,*c1ncccn1,*c1nc(N(C)[C@H]2CCN(C)C2)nc2cc(C(C)(C)C)sc12,CN1CC[C@H](N(C)c2nc(-c3ncccn3)c3sc(C(C)(C)C)cc3n2)C1
47,*C(=O)[C@@H](O)[C@H](N)Cc1ccccc1,*C(=O)c1ccc(N2CCCCC2)cc1,N[C@H](Cc1ccccc1)[C@H](O)C(=O)C(=O)c1ccc(N2CCCCC2)cc1
48,*c1cc(OC(C)(C)C)ccc1Cl,*c1ccn2nc(NC(=O)C(C)C)nc2c1,CC(C)C(=O)Nc1nc2cc(-c3cc(OC(C)(C)C)ccc3Cl)ccn2n1
49,*C(=O)[C@H](C)Nc1cc(=O)[nH]c2ccc(Nc3ccnc(Cl)c3C#N)cc12,*C(=O)NCC(C)(F)F,C[C@H](Nc1cc(=O)[nH]c2ccc(Nc3ccnc(Cl)c3C#N)cc12)C(=O)C(=O)NCC(C)(F)F
50,*N[C@H](C)C(C)C,*Nc1c(C)cccc1Cl,Cc1cccc(Cl)c1NN[C@H](C)C(C)C
51,*n1ccc(=O)c(-c2ccnn2-c2cc(F)ccc2F)n1,*c1cccnc1,O=c1ccn(-c2cccnc2)nc1-c1ccnn1-c1cc(F)ccc1F
52,*Cc1c[nH]c2ccc(C)cc12,*C(=O)[C@H](CC(C)C)NC(=O)[C@@H](O)[C@H](N)Cc1ccccc1,Cc1ccc2[nH]cc(CC(=O)[C@H](CC(C)C)NC(=O)[C@@H](O)[C@H](N)Cc3ccccc3)c2c1
53,*C(=O)NC1CCC1,*c1ccc(C(=O)NC2CCN(C)CC2)cc1OC(F)(F)F,CN1CCC(NC(=O)c2ccc(C(=O)NC3CCC3)c(OC(F)(F)F)c2)CC1
54,*c1nc(Cl)nc2ccccc12,*C(=O)c1ccc2[nH]ncc2c1,O=C(c1ccc2[nH]ncc2c1)c1nc(Cl)nc2ccccc12
55,*C(=O)c1ccc2nc(C)c3nnc(-c4ccccc4)n3c2c1,*N1CCN(c2ccccc2[N+](=O)[O-])CC1,Cc1nc2ccc(C(=O)N3CCN(c4ccccc4[N+](=O)[O-])CC3)cc2n2c(-c3ccccc3)nnc12
56,*CCCCCCC(=O)[O-],*[C@H](C)c1ncccn1,C[C@@H](CCCCCCC(=O)[O-])c1ncccn1
57,*c1nc(N2CCC(O)CC2)nc(-n2ccnc2)n1,*C(=O)c1ccc(N(C)C)cc1,CN(C)c1ccc(C(=O)c2nc(N3CCC(O)CC3)nc(-n3ccnc3)n2)cc1
58,*C(=O)CN1CCN(C)CC1,*N[C@H](CC(C)C)C(=O)NO,CC(C)C[C@@H](NC(=O)CN1CCN(C)CC1)C(=O)NO
59,*c1ccco1,*Cc1cccnc1,c1cncc(Cc2ccco2)c1
60,*[C@@H]1O[C@@H](C)[C@H](O)[C@@H](O)[C@H]1O,*c1ccc(NC(=O)Nc2cc(C(F)(F)F)ccc2F)cc1,C[C@@H]1O[C@@H](c2ccc(NC(=O)Nc3cc(C(F)(F)F)ccc3F)cc2)[C@H](O)[C@H](O)[C@H]1O
61,*c1cc(N2CC[NH+](CCO)CC2)nc(C)n1,*NC(=N)Cc1cccc(OC)c1,COc1cccc(CC(=N)Nc2cc(N3CC[NH+](CCO)CC3)nc(C)n2)c1
62,*CC1(O)CC1,*[C@@H](CCN(C)C)c1ccccc1,CN(C)CC[C@H](CC1(O)CC1)c1ccccc1
63,*c1cnc2ccc(NCC3CC3)nn12,*c1cncc(-c2ccc(N3CCNCC3)cc2)c1,c1cc(N2CCNCC2)ccc1-c1cncc(-c2cnc3ccc(NCC4CC4)nn23)c1
64,*c1ccc(O)cc1,*c1ccc(OC)c(OCCCC(=O)[O-])c1,COc1ccc(-c2ccc(O)cc2)cc1OCCCC(=O)[O-]
65,*n1c(N2CCNCC2)nc2ccc(Cl)cc21,*N1CC[C@H](N(C)CCCN(C)C)C1,CN(C)CCCN(C)[C@H]1CCN(n2c(N3CCNCC3)nc3ccc(Cl)cc32)C1
66,*c1ccnn1-c1ccc(F)cc1F,*c1nc(N2C[C@H](C)O[C@H](C)C2)ncc1Cl,C[C@H]1CN(c2ncc(Cl)c(-c3ccnn3-c3ccc(F)cc3F)n2)C[C@@H](C)O1
67,*C(=O)OCc1ccccc1,*CCc1nc(-c2ccc(F)cc2OCC)oc1C,CCOc1cc(F)ccc1-c1nc(CCC(=O)OCc2ccccc2)c(C)o1
68,*c1cccc(N)c1,*C(=O)C1CCN(c2nc(C)c(C(=O)OCC)cc2C#N)CC1,CCOC(=O)c1cc(C#N)c(N2CCC(C(=O)c3cccc(N)c3)CC2)nc1C
69,*N[C@@H](Cc1ccccc1)C(=O)Nc1ccc(CCC=O)cc1,*c1ccnn1-c1ccccc1F,O=CCCc1ccc(NC(=O)[C@H](Cc2ccccc2)Nc2ccnn2-c2ccccc2F)cc1
70,*c1ccc(C[C@@H](C(=O)O)C(C)=NOCCC)cc1,*C(=O)CO,CCCON=C(C)[C@@H](Cc1ccc(C(=O)CO)cc1)C(=O)O
71,*c1nc2ccccc2n2cccc12,*c1ccc2c(c1)cc(OCC(=O)NC)c(=O)n2C,CNC(=O)COc1cc2cc(-c3nc4ccccc4n4cccc34)ccc2n(C)c1=O
72,*Oc1ccc(C)cc1,*C[C@H](O)CN(CCOCC)S(=O)(=O)c1c(C)cccc1C,CCOCCN(C[C@@H](O)COc1ccc(C)cc1)S(=O)(=O)c1c(C)cccc1C
73,*C(C)(C)C(=O)O,*C(=O)c1ccc2[nH]ncc2c1,CC(C)(C(=O)O)C(=O)c1ccc2[nH]ncc2c1
74,*c1ccc(Oc2ccnc(-c3cnn(C)c3)c2)c(C)n1,*C(=O)Nc1ccncc1,Cc1nc(C(=O)Nc2ccncc2)ccc1Oc1ccnc(-c2cnn(C)c2)c1
75,*c1ccnc(Nc2ccc(-[n+]3cc[n+](C)cc3)cc2)n1,*[C@@H](CO)C(=O)O,C[n+]1cc[n+](-c2ccc(Nc3nccc([C@@H](CO)C(=O)O)n3)cc2)cc1
76,*c1ccc(F)cc1,*S(=O)(=O)c1ccc(N)cc1,Nc1ccc(S(=O)(=O)c2ccc(F)cc2)cc1
77,*CCC=CCC=CCC,*c1nnc[nH]1,CCC=CCC=CCCc1nnc[nH]1
78,*C[C@H](O)CO,*C1CC(F)(F)C1,OC[C@@H](O)CC1CC(F)(F)C1
79,*N1CCN(C(=O)c2ccc([N+](=O)[O-])c(C)c2)CC1,*c1nc(N(C)CCC#N)c2sccc2n1,Cc1cc(C(=O)N2CCN(c3nc(N(C)CCC#N)c4sccc4n3)CC2)ccc1[N+](=O)[O-]
80,*C(=O)CC,*c1cnc(NC(C)C)n(C)c1=O,CCC(=O)c1cnc(NC(C)C)n(C)c1=O
81,*N1CCC[C@H]1CC#N,*NCC(F)(F)F,N#CC[C@@H]1CCCN1NCC(F)(F)F
82,*n1c(N)c(C(N)=O)c2nc3ccccc3nc21,*CCC=CCC=CCC=CCC,CCC=CCC=CCC=CCCn1c(N)c(C(N)=O)c2nc3ccccc3nc21
83,*Nc1ccncc1Cl,*N1CCN(c2ncnc3sc(CC(F)(F)F)cc23)CC1,FC(F)(F)Cc1cc2c(N3CCN(Nc4ccncc4Cl)CC3)ncnc2s1
84,*c1cc(C#N)ncn1,*c1ccc(OC(C)(C)C(=O)O)cc1,CC(C)(Oc1ccc(-c2cc(C#N)ncn2)cc1)C(=O)O
85,*C(=O)c1cnc2ccccn12,*C(=O)c1ccccc1OC1CCNCC1,O=C(C(=O)c1cnc2ccccn12)c1ccccc1OC1CCNCC1
