id,frag1,frag2,new_smiles
1,*c1ccc2nc(C)c(C)n2n1,*[C@@H]1CCCC[C@@H]1C(O)C1CCCCC1,Cc1nc2ccc([C@@H]3CCCC[C@@H]3C(O)C3CCCCC3)nn2c1C
2,*Nc1ccn2cc(-c3ccccc3)nc2c1,*N1C(=O)NC(=O)C1(C)C,CC1(C)C(=O)NC(=O)N1Nc1ccn2cc(-c3ccccc3)nc2c1
3,*C(=O)N1CCNC(=O)C1,*c1ccccc1Oc1cc(F)cc2cc(C#N)ccc12,N#Cc1ccc2c(Oc3ccccc3C(=O)N3CCNC(=O)C3)cc(F)cc2c1
4,*c1cc(F)c(NC(=O)Nc2cncs2)c(F)c1,*c1ccccc1OCCn1ccc(=O)[nH]c1=O,O=C(Nc1cncs1)Nc1c(F)cc(-c2ccccc2OCCn2ccc(=O)[nH]c2=O)cc1F
5,*CC1CCN(Cc2ccc([N+](=O)[O-])cc2)CC1,*N[C@H](C)c1cc(C)on1,Cc1cc([C@@H](C)NCC2CCN(Cc3ccc([N+](=O)[O-])cc3)CC2)no1
6,*N1c2ccc(C3=NN=CC3)cc2[C@H](Nc2ccccc2Cl)C[C@@H]1C,*N1CCC(O)CC1,C[C@H]1C[C@@H](Nc2ccccc2Cl)c2cc(C3=NN=CC3)ccc2N1N1CCC(O)CC1
7,*CC1CCN(Cc2ccc([N+](=O)[O-])cc2)CC1,*N1CCOCC1,O=[N+]([O-])c1ccc(CN2CCC(CN3CCOCC3)CC2)cc1
8,*c1csc(NC(=O)Cc2ccc(F)cc2)n1,*c1ccc(CCN)cc1,NCCc1ccc(-c2csc(NC(=O)Cc3ccc(F)cc3)n2)cc1
9,*[C@H](C)c1cccc(N)c1,*Cc1ccc([N+](=O)[O-])cc1,C[C@@H](Cc1ccc([N+](=O)[O-])cc1)c1cccc(N)c1
10,*CCOC(F)(F)F,*C(=O)[C@@H](NC(=O)c1nn(Cc2ccc(F)cc2)c2ccccc12)C(C)(C)C,CC(C)(C)[C@H](NC(=O)c1nn(Cc2ccc(F)cc2)c2ccccc12)C(=O)CCOC(F)(F)F
11,*C(=O)c1ccc(-c2ccccc2F)cc1,*c1cc(N2CCN(C3COC3)CC2)nc(N)n1,Nc1nc(C(=O)c2ccc(-c3ccccc3F)cc2)cc(N2CCN(C3COC3)CC2)n1
12,*CCCOc1ccc(C(=O)c2ccc(-c3ccccc3)cc2)cc1CCC,*N1CC[N@@H+]2CCC[C@@H]2C1,CCCc1cc(C(=O)c2ccc(-c3ccccc3)cc2)ccc1OCCCN1CC[N@@H+]2CCC[C@@H]2C1
13,*c1ccc(C(F)(F)F)cc1[N+](=O)[O-],*C(C)CCC(=O)[O-],CC(CCC(=O)[O-])c1ccc(C(F)(F)F)cc1[N+](=O)[O-]
14,*CCc1nc2cc(C)ccc2[nH]1,*[C@@H]1CC[C@](C)(O)c2c1nnn2Cc1ccc(OC)cc1,COc1ccc(Cn2nnc3c2[C@@](C)(O)CC[C@H]3CCc2nc3cc(C)ccc3[nH]2)cc1
15,*NC[C@H]1CN(c2ccc(N3CCSCC3)c(F)c2)C(=O)O1,*c1ccc(S(N)(=O)=O)cc1,NS(=O)(=O)c1ccc(NC[C@H]2CN(c3ccc(N4CCSCC4)c(F)c3)C(=O)O2)cc1
16,*c1cc(-c2cnn(C)c2)cnc1N,*c1cc(F)c(-c2cc(CO)ccc2F)c(F)c1,Cn1cc(-c2cnc(N)c(-c3cc(F)c(-c4cc(CO)ccc4F)c(F)c3)c2)cn1
17,*CCc1ccc(O[C@](C)(CC)C(=O)O)cc1,*c1c(-c2cccc(OC)c2)ncn1CC#C,C#CCn1cnc(-c2cccc(OC)c2)c1CCc1ccc(O[C@](C)(CC)C(=O)O)cc1
18,*C(=O)c1nccn1Cc1ccccc1,*N1CCC[C@H]1C=O,O=C[C@@H]1CCCN1C(=O)c1nccn1Cc1ccccc1
19,*c1cccc(N2CCCC2=O)c1,*Nc1ccc2c3c(cccc13)C(=O)N2CC,CCN1C(=O)c2cccc3c(Nc4cccc(N5CCCC5=O)c4)ccc1c23
20,*[C@H]1CCN(S(C)(=O)=O)C1,*c1ccc(C#N)c(C)c1,Cc1cc([C@H]2CCN(S(C)(=O)=O)C2)ccc1C#N
21,*CCCNCc1cccnc1,*CCn1ccc(=O)[nH]c1=O,O=c1ccn(CCCCCNCc2cccnc2)c(=O)[nH]1
