id,frag1,frag2,new_smiles
1,*NCCC(=O)NCCSC(=O)CCCCC,*Nc1c(Cl)c(OC)cc(OC)c1Cl,CCCCCC(=O)SCCNC(=O)CCNNc1c(Cl)c(OC)cc(OC)c1Cl
2,*c1nc2ccc(C(N)=O)cc2[nH]1,*c1ccc(C(=O)N(C)C)c(Cl)c1,CN(C)C(=O)c1ccc(-c2nc3ccc(C(N)=O)cc3[nH]2)cc1Cl
3,*[C@H]1CC[C@@H](O)CC1,*N[C@H](CC(C)C)C(=O)NO,CC(C)C[C@@H](N[C@H]1CC[C@@H](O)CC1)C(=O)NO
4,*N1CCCC1=O,*C(=O)CN(C)S(=O)(=O)c1cc(Br)cnc1N,CN(CC(=O)N1CCCC1=O)S(=O)(=O)c1cc(Br)cnc1N
5,*OC[C@H](O)CO,*[C@H](C)c1ccc(-c2cnc3n2CCC3)s1,C[C@@H](OC[C@H](O)CO)c1ccc(-c2cnc3n2CCC3)s1
6,*C(=O)[C@@H](N)Cc1c[nH]c2ccc(C)cc12,*c1cncc(-c2ccc3[nH]ncc3c2)c1,Cc1ccc2[nH]cc(C[C@H](N)C(=O)c3cncc(-c4ccc5[nH]ncc5c4)c3)c2c1
7,*n1ccc(=O)cc1,*OC[C@H]1CO[P@@](=S)([S-])O1,O=c1ccn(OC[C@H]2CO[P@@](=S)([S-])O2)cc1
8,*[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21,*C(=O)c1nc(C)ccc1C,Cc1ccc(C)c(C(=O)[C@H]2C[C@@H](C)C=C3C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]32)n1
9,*C(C)O,*N(C)c1cc(Nc2ccc(N3CCN(CC)CC3)cc2NC(=O)CC)ncn1,CCC(=O)Nc1cc(N2CCN(CC)CC2)ccc1Nc1cc(N(C)C(C)O)ncn1
10,*C[C@H]1O[C@@H](n2cnc3cncnc32)[C@H](O)[C@@H]1O,*OC,COC[C@H]1O[C@@H](n2cnc3cncnc32)[C@H](O)[C@@H]1O
11,*[C@@H]1O[C@H](CN2CCCC23CCNCC3)[C@@H](O)[C@H]1O,*C(=O)CCC,CCCC(=O)[C@@H]1O[C@H](CN2CCCC23CCNCC3)[C@@H](O)[C@H]1O
12,*NCc1ccccc1C,*n1cnc(-c2cc(OC)cc(C(F)(F)F)c2)n1,COc1cc(-c2ncn(NCc3ccccc3C)n2)cc(C(F)(F)F)c1
13,*C(=O)c1nn(C)cc1C(=O)N1CCOCC1,*c1nnc(C)c2cnc(N3CCOCC3)cc12,Cc1nnc(C(=O)c2nn(C)cc2C(=O)N2CCOCC2)c2cc(N3CCOCC3)ncc12
14,*C(=O)C1CC1,*c1nnn[nH]1,O=C(c1nnn[nH]1)C1CC1
15,*c1ccnc(NC(C)=O)c1,*n1nccc1NC(=O)NCCc1nc(-c2ccccc2)oc1C,CC(=O)Nc1cc(-n2nccc2NC(=O)NCCc2nc(-c3ccccc3)oc2C)ccn1
16,*C(=O)c1c(Cl)c(C)nn1C,*Nc1ccc(OC)cc1,COc1ccc(NC(=O)c2c(Cl)c(C)nn2C)cc1
17,*N1CCC(NC(=O)[C@@H](N)Cc2c[nH]c3ccc(C)cc23)CC1,*c1ccccc1Cl,Cc1ccc2[nH]cc(C[C@H](N)C(=O)NC3CCN(c4ccccc4Cl)CC3)c2c1
18,*NCC=C[C@H]1O[C@@H](n2ccc(=O)cc2)[C@H](O)[C@@H]1O,*Cc1cnc2ccccc2c1,O=c1ccn([C@@H]2O[C@H](C=CCNCc3cnc4ccccc4c3)[C@@H](O)[C@H]2O)cc1
19,*c1ccc(C(=O)c2nc3ccccc3[nH]2)cc1,*c1nc(C=Cc2nc3ccc(Cl)cn3n2)n(C)n1,Cn1nc(-c2ccc(C(=O)c3nc4ccccc4[nH]3)cc2)nc1C=Cc1nc2ccc(Cl)cn2n1
20,*c1ccccc1OCC,*c1cc(=O)c2c(O)cc(O)c([C@H]3CCN(C)C[C@H]3O)c2o1,CCOc1ccccc1-c1cc(=O)c2c(O)cc(O)c([C@H]3CCN(C)C[C@H]3O)c2o1
21,*C1CCCCCC1,*NC1CCN(Cc2c[nH]c3ccccc23)CC1,c1ccc2c(CN3CCC(NC4CCCCCC4)CC3)c[nH]c2c1
22,*n1ccc2cnccc21,*n1nc(-c2ccc3cc(OCC)ccc3c2)c2c(N)ncnc21,CCOc1ccc2cc(-c3nn(-n4ccc5cnccc54)c4ncnc(N)c34)ccc2c1
23,*N1CCC1,*C(=O)c1cc(-c2cnn3cc(C(F)(F)F)cnc23)c(CC)s1,CCc1sc(C(=O)N2CCC2)cc1-c1cnn2cc(C(F)(F)F)cnc12
24,*c1ccc(S(=O)(=O)N2C[C@@H]3C[C@H]2CN3C(=O)CC)cc1,*CCOCCOCCOCCO,CCC(=O)N1C[C@@H]2C[C@H]1CN2S(=O)(=O)c1ccc(CCOCCOCCOCCO)cc1
25,*CCCCCC[P@@H](=O)OC,*Cc1ccc(O)c(O)c1,CO[P@H](=O)CCCCCCCc1ccc(O)c(O)c1
26,*CC(=O)Nc1cc[nH+]cc1F,*c1cncc(OC[C@@H](N)Cc2c[nH]c3ccccc23)c1,N[C@H](COc1cncc(CC(=O)Nc2cc[nH+]cc2F)c1)Cc1c[nH]c2ccccc12
27,*C(=O)C1(F)CC1,*c1c2c(nc(N(CC)CC)c1-c1nnn[nH]1)CCCCC2,CCN(CC)c1nc2c(c(C(=O)C3(F)CC3)c1-c1nnn[nH]1)CCCCC2
