id,frag1,frag2,new_smiles
1,*C(=O)c1cc(C(=O)O)nn1Cc1ccc(F)cc1,*c1ccnn1-c1cccc2ccccc12,O=C(O)c1cc(C(=O)c2ccnn2-c2cccc3ccccc23)n(Cc2ccc(F)cc2)n1
2,*c1c(C)n[nH]c1C,*C(=O)CCC,CCCC(=O)c1c(C)n[nH]c1C
3,*c1ccc2c(c1)n(CC[C@@H](C)O)c(=O)n2C,*c1c(-c2ccc(F)cc2)c2ncccc2n1O,C[C@@H](O)CCn1c(=O)n(C)c2ccc(-c3c(-c4ccc(F)cc4)c4ncccc4n3O)cc21
4,*CCC(c1ccccc1)c1ccccc1,*C(=O)c1cnc(NCc2cnccn2)nc1,O=C(CCC(c1ccccc1)c1ccccc1)c1cnc(NCc2cnccn2)nc1
5,*n1ncc2ccc([C@]3(C#N)CC34CC4)cc21,*CCCNS(=O)(=O)c1ccc(C)cc1,Cc1ccc(S(=O)(=O)NCCCn2ncc3ccc([C@]4(C#N)CC45CC5)cc32)cc1
6,*c1ccc(C(C)C)cc1,*C(=O)OC,COC(=O)c1ccc(C(C)C)cc1
7,*NC(C)C,*N1C(=O)[C@H](CC(=O)O)O[C@@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,CC(C)NN1C(=O)[C@H](CC(=O)O)O[C@@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1
8,*C(=O)CO,*C1CCN(c2nnc(NC(C)=O)s2)CC1,CC(=O)Nc1nnc(N2CCC(C(=O)CO)CC2)s1
9,*N1CCCC1,*c1nc2c(N3CCN(C)CC3)cc(Cl)cc2n1Cc1cc(C)c(F)c(C)c1,Cc1cc(Cn2c(N3CCCC3)nc3c(N4CCN(C)CC4)cc(Cl)cc32)cc(C)c1F
10,*N=C1C(=O)Nc2ccc(C(=O)O)cc21,*c1cnc2ccc(NCC3CC3)nn12,O=C1Nc2ccc(C(=O)O)cc2C1=Nc1cnc2ccc(NCC3CC3)nn12
11,*C(=O)C(=O)OC,*N1CC[C@@H](O)C1,COC(=O)C(=O)N1CC[C@@H](O)C1
12,*c1ccc(-n2cnc(C(F)(F)F)c2)nc1,*c1nc2c(cnn2-c2ccccc2C)c(=O)[nH]1,Cc1ccccc1-n1ncc2c(=O)[nH]c(-c3ccc(-n4cnc(C(F)(F)F)c4)nc3)nc21
13,*[C@@H](C)c1ccccc1,*OCC,CCO[C@@H](C)c1ccccc1
14,*C(=O)c1cnc(Nc2cc(N3CC[NH+](CCO)CC3)nc(C)n2)s1,*C(=O)Cc1ccccc1,Cc1nc(Nc2ncc(C(=O)C(=O)Cc3ccccc3)s2)cc(N2CC[NH+](CCO)CC2)n1
15,*C(=O)OC(C)(C)C,*[C@@H]1O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]1O,CC(C)(C)OC(=O)[C@@H]1O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]1O
16,*[C@H]1CN[C@H](C=O)C1,*c1nc(Nc2ccc(C(=O)NCCN3CCCCC3)cc2)ncc1F,O=C[C@@H]1C[C@@H](c2nc(Nc3ccc(C(=O)NCCN4CCCCC4)cc3)ncc2F)CN1
17,*n1ncc2c(=O)[nH]c(N[C@H](C)C(=O)N3CC[C@H](F)C3)nc21,*c1cc2ccc(C(O)(CC)CC)cc2[nH]1,CCC(O)(CC)c1ccc2cc(-n3ncc4c(=O)[nH]c(N[C@H](C)C(=O)N5CC[C@H](F)C5)nc43)[nH]c2c1
18,*n1nnc2c(-c3ccco3)nc(N)nc21,*N[C@@H]1CNC[C@H]1c1ccccc1,Nc1nc(-c2ccco2)c2nnn(N[C@@H]3CNC[C@H]3c3ccccc3)c2n1
19,*c1ccn2nc(NC(=O)C3CC3)nc2c1,*CCC(CO)CO,O=C(Nc1nc2cc(CCC(CO)CO)ccn2n1)C1CC1
20,*C(=O)c1cnc2onc(C(C)C)c2c1,*C(C)(C)C(=O)[O-],CC(C)c1noc2ncc(C(=O)C(C)(C)C(=O)[O-])cc12
21,*[C@H](C)[C@H]1CC[C@H](C)CC1,*n1cnc2ccccc21,C[C@H]([C@H]1CC[C@H](C)CC1)n1cnc2ccccc21
22,*[C@H](C)CC,*c1nccc(NC)n1,CC[C@@H](C)c1nccc(NC)n1
23,*CCCN(Cc1cccc(O[C@H](CC)C(=O)[O-])c1)c1nc2ccccc2o1,*C(=O)c1ccccc1,CC[C@@H](Oc1cccc(CN(CCCC(=O)c2ccccc2)c2nc3ccccc3o2)c1)C(=O)[O-]
24,*Nc1cnc2cc(Cl)nn2c1[C@@H](OC)[C@@H](C)OC,*C(=O)c1ccc2[nH]nnc2c1,CO[C@H](C)[C@H](OC)c1c(NC(=O)c2ccc3[nH]nnc3c2)cnc2cc(Cl)nn12
25,*C(=O)c1ccc(F)cc1,*C(=O)c1ccc(C)c(-c2ccc3nc(N)ncc3c2)c1,Cc1ccc(C(=O)C(=O)c2ccc(F)cc2)cc1-c1ccc2nc(N)ncc2c1
26,*CC(C)(C)[S@](=O)c1ccccc1,*n1c(N2CCNCC2)nc2ccc(Cl)cc21,CC(C)(Cn1c(N2CCNCC2)nc2ccc(Cl)cc21)[S@](=O)c1ccccc1
27,*C[C@H]1CNC(=O)CO1,*C(=O)[C@@H](N)Cc1c[nH]c2ccc(C)cc12,Cc1ccc2[nH]cc(C[C@H](N)C(=O)C[C@H]3CNC(=O)CO3)c2c1
28,*C(=O)N1CCN(C(=O)c2ccc3cc4c(nc3c2)CCCC4)CC1,*C(=O)C(C)(C)C,CC(C)(C)C(=O)C(=O)N1CCN(C(=O)c2ccc3cc4c(nc3c2)CCCC4)CC1
29,*C(=O)CCC(=O)O,*N1C(=O)[C@H](CC(=O)O)O[C@@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,O=C(O)CCC(=O)N1C(=O)[C@H](CC(=O)O)O[C@@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1
30,*c1nc(-c2noc(=O)[nH]2)cc2nc([C@H](C)COC)n([C@H](C)[C@H]3CC[C@H](C)CC3)c12,*N1CC2(CNC2)C1,COC[C@@H](C)c1nc2cc(-c3noc(=O)[nH]3)nc(N3CC4(CNC4)C3)c2n1[C@H](C)[C@H]1CC[C@H](C)CC1
31,*c1cc(CCC)c(O)cc1O,*N1C[C@H]2CCCC[C@@H]2C[C@H]1CN[C@H](C=O)Cc1cnc[nH]1,CCCc1cc(N2C[C@H]3CCCC[C@@H]3C[C@H]2CN[C@H](C=O)Cc2cnc[nH]2)c(O)cc1O
32,*[C@H]1CC[C@H](O)CC1,*N1CCC(n2cccc2)CC1,O[C@H]1CC[C@H](N2CCC(n3cccc3)CC2)CC1
33,*[C@@H](C)c1ccc(Cl)cc1,*C(=O)[C@H]1C[C@@H]1c1ccc(CN(C)C)cc1,C[C@H](C(=O)[C@H]1C[C@@H]1c1ccc(CN(C)C)cc1)c1ccc(Cl)cc1
34,*Nc1cccc2cc(C(=O)NC(C)C)[nH]c12,*n1cnc2cc(C(C)(C)C)ccc2c1=O,CC(C)NC(=O)c1cc2cccc(Nn3cnc4cc(C(C)(C)C)ccc4c3=O)c2[nH]1
35,*N=C1C(=O)Nc2ccc(C(=O)O)cc21,*CCCOc1ccc(OC)cc1,COc1ccc(OCCCN=C2C(=O)Nc3ccc(C(=O)O)cc32)cc1
